dataset,trial,n,n_rep,delta_rel_sup,null_mean,null_sd,excess_sup,r_above,p_left,time_s
cifar10,0,1500,200,0.296684964449914,0.2968023277081726,0.021578725984196502,-0.00011736325825861817,91,0.5472636815920398,4373.399483919145
cifar10,1,1500,200,0.2746506852188051,0.2933723999834365,0.020915072379342314,-0.018721714764631414,161,0.19900497512437806,4345.045546770096
cifar10,2,1500,200,0.2559882881575515,0.2960018724879653,0.021489525139341516,-0.0400135843304138,199,0.009950248756218905,4257.6543538570395
cifar10,3,1500,200,0.2695870971914945,0.29569831772345784,0.021320840711933242,-0.026111220531963356,176,0.12437810945273632,4207.360885620117
cifar10,4,1500,200,0.2612677852086055,0.2952024777516293,0.020995539920907986,-0.03393469254302378,195,0.02985074626865672,4322.223356485367
cifar10,5,1500,200,0.30636995161587816,0.2952136333087344,0.02151714829639444,0.011156318307143752,60,0.7014925373134329,4400.400501728058
cifar10,6,1500,200,0.2545215438777799,0.29440958011681145,0.02094500628538042,-0.03988803623903153,200,0.0049751243781094535,4429.565190076828
cifar10,7,1500,200,0.28106249191658056,0.2955773279600603,0.02133277753721406,-0.01451483604347975,149,0.25870646766169153,4354.9437839984885
cifar10,8,1500,200,0.2720568314315153,0.2961578074099485,0.02144254618512928,-0.024100975978433192,173,0.13930348258706468,4291.4103548526755
cifar10,9,1500,200,0.27938495143386965,0.2981287093396525,0.022220602721001136,-0.01874375790578281,156,0.22388059701492535,4225.22878432274
cifar100,0,1500,200,0.2614315680530079,0.2972541543671632,0.022008789255288333,-0.0358225863141553,196,0.02487562189054726,4353.522267580031
cifar100,1,1500,200,0.2603686741467885,0.2967843085313186,0.022003342476077117,-0.03641563438453005,196,0.02487562189054726,4389.414480686188
cifar100,2,1500,200,0.2817541465521302,0.2955389242761646,0.02154063602532793,-0.013784777724034414,141,0.29850746268656714,4314.993372917175
cifar100,3,1500,200,0.24073227234450836,0.29401335137909523,0.021205569025362612,-0.0532810790345869,200,0.0049751243781094535,4272.242397546768
cifar100,4,1500,200,0.2456220963447803,0.2970317894194228,0.022042192696894315,-0.05140969307464255,199,0.009950248756218905,4290.370122909546
cifar100,5,1500,200,0.2575686833976897,0.2942356522142893,0.02119895779266577,-0.03666696881659959,198,0.01492537313432836,4348.069741249085
cifar100,6,1500,200,0.26020572021853,0.29564842924343115,0.02172567532204001,-0.03544270902490115,196,0.02487562189054726,4424.068716049193
cifar100,7,1500,200,0.2658855458487968,0.2973764359324938,0.022107605331276342,-0.031490890083697036,190,0.05472636815920398,4324.5601365566245
cifar100,8,1500,200,0.2780960695211129,0.29570395858168697,0.021408837370939456,-0.01760788906057403,156,0.22388059701492535,4234.3701763153085
cifar100,9,1500,200,0.25597925988524745,0.2974212462742177,0.02204908948904189,-0.04144198638897029,198,0.01492537313432836,4293.689133167267
cub,0,1500,200,0.2577625238739167,0.29224272589678,0.01966996739580407,-0.03448020202286328,198,0.01492537313432836,4285.244597196579
cub,1,1500,200,0.2685879298624587,0.2910242554896094,0.019430482685417853,-0.0224363256271507,174,0.13432835820895522,4305.4088168144235
cub,2,1500,200,0.27686488490039696,0.2909972858392728,0.01950162991187889,-0.014132400938875857,147,0.26865671641791045,4273.879101753235
cub,3,1500,200,0.2676002451597146,0.2914473172812357,0.01953025170989744,-0.023847072121521096,175,0.12935323383084574,4178.792592763901
cub,4,1500,200,0.24489570024610635,0.2920628023257493,0.01949572746904508,-0.04716710207964292,200,0.0049751243781094535,4327.94299864769
cub,5,1500,200,0.2889840644912461,0.2916133602074657,0.019581048190237208,-0.0026292957162196147,103,0.4875621890547264,4390.492466926575
cub,6,1500,200,0.2800643707330848,0.29124909969286583,0.01956721443087884,-0.01118472895978101,134,0.3333333333333333,4410.990271568297
cub,7,1500,200,0.2780085059629092,0.2906976699043261,0.019399634574895318,-0.012689163941416892,139,0.30845771144278605,4301.742759227754
cub,8,1500,200,0.2653861994795925,0.2920805396888945,0.019713748114388314,-0.02669434020930206,180,0.1044776119402985,4272.610424995421
cub,9,1500,200,0.2681695800891452,0.2913914850107711,0.019445837870703687,-0.023221904921625902,178,0.11442786069651742,4280.990357160568
miniimagenet,0,1500,200,0.19273761245871326,0.2736488440625009,0.014887759817026674,-0.08091123160378758,200,0.0049751243781094535,4391.001140117645
miniimagenet,1,1500,200,0.21487169003911308,0.27217879797405753,0.014878469790841762,-0.05730710793494445,200,0.0049751243781094535,4468.552070617676
miniimagenet,2,1500,200,0.22693793990394304,0.2729432185090156,0.014842857176088338,-0.04600527860507253,200,0.0049751243781094535,4366.414667606354
miniimagenet,3,1500,200,0.20550203402302425,0.2726606006902156,0.014868224535763109,-0.06715856666719132,200,0.0049751243781094535,4305.420468568802
miniimagenet,4,1500,200,0.17797657777865125,0.2729975023993807,0.01492813113670421,-0.09502092462072943,200,0.0049751243781094535,4200.163521051407
miniimagenet,5,1500,200,0.2062275257912317,0.2731612308802404,0.014922826937545012,-0.06693370508900867,200,0.0049751243781094535,4414.0154123306265
miniimagenet,6,1500,200,0.19441337650284374,0.27248083764569225,0.014753648563203662,-0.07806746114284849,200,0.0049751243781094535,4447.198612928391
miniimagenet,7,1500,200,0.20044482432406216,0.2728571783149448,0.014964350455908085,-0.07241235399088268,200,0.0049751243781094535,4352.41880917549
miniimagenet,8,1500,200,0.20297323942732176,0.27255768980307754,0.014884011564006459,-0.06958445037575578,200,0.0049751243781094535,4292.552600622177
miniimagenet,9,1500,200,0.20699759976608065,0.2731291380653296,0.014825542335656491,-0.06613153829924898,200,0.0049751243781094535,4207.085838079453
