dataset,model,NC_R_paper,NC_H_paper,FS_R_paper,FS_H_paper,NC_R,FS_R,NC_H,FS_H,dNC_R,dFS_R,dNC_H,dFS_H
fashionmnist,dinov2_g,0.859,0.858,0.89,0.892,0.8586,0.8898,0.8581,0.892,-0.04,-0.0173,0.01,0.0027
fashionmnist,clip_b,0.759,0.751,0.788,0.789,0.7586,0.7879,0.7514,0.7886,-0.04,-0.0053,0.04,-0.0387
fashionmnist,clip_l,0.762,0.759,0.768,0.773,0.762,0.7677,0.7594,0.7733,0.0,-0.028,0.04,0.0293
mnist,i21k_t,0.759,0.74,0.743,0.749,0.7589,0.7428,0.7399,0.7459,-0.01,-0.024,-0.01,-0.3093
mnist,i21k_s,0.848,0.841,0.805,0.814,0.8484,0.805,0.8406,0.8137,0.04,-0.0027,-0.04,-0.0333
mnist,i21k_b,0.816,0.805,0.768,0.776,0.8158,0.7681,0.805,0.7762,-0.02,0.0093,0.0,0.0173
mnist,i21k_l,0.842,0.836,0.808,0.816,0.8415,0.8079,0.8356,0.8159,-0.05,-0.0093,-0.04,-0.0107
mnist,dinov2_s,0.834,0.819,0.802,0.808,0.834,0.802,0.8193,0.8077,0.0,0.0,0.03,-0.0333
mnist,dinov2_b,0.806,0.788,0.766,0.771,0.8057,0.7658,0.7885,0.7709,-0.03,-0.0213,0.05,-0.0107
mnist,dinov2_l,0.741,0.727,0.705,0.711,0.7409,0.7053,0.7269,0.7114,-0.01,0.0267,-0.01,0.044
mnist,dinov2_g,0.793,0.786,0.729,0.738,0.7926,0.7292,0.7861,0.7376,-0.04,0.0227,0.01,-0.0413
mnist,clip_b,0.701,0.666,0.709,0.697,0.7013,0.709,0.6657,0.6967,0.03,0.0,-0.03,-0.028
mnist,clip_l,0.852,0.843,0.837,0.827,0.8522,0.8372,0.861,0.8466,0.02,0.0173,1.8,1.9627
