model,dataset,metric,null,stat,delta,delta_sd,null_mean,null_sd,excess,z,frac_null_above,r_above,p_left,time_s
dinov2_s,dtd,cosine_geodesic,haar,p999,0.13486643515577962,0.00037305875719468093,0.15280017782090682,0.0042149257670395235,-0.017933742665127206,-4.238249656147376,1.0,200,0.004975124378109453,68.25284004211426
dinov2_b,dtd,cosine_geodesic,haar,p999,0.11324546768831804,0.00046582433436394744,0.13457344828917694,0.0035050401905512016,-0.0213279806008589,-6.031909204337469,1.0,200,0.004975124378109453,70.10989689826965
dinov2_l,dtd,cosine_geodesic,haar,p999,0.1056006124569644,0.00041482106177088144,0.1292086161063083,0.0034700667450120433,-0.0236080036493439,-6.755231967827333,1.0,200,0.004975124378109453,69.97585225105286
dinov2_g,dtd,cosine_geodesic,haar,p999,0.11288230033117459,0.000465284024682724,0.12938756379123068,0.003335043958026707,-0.016505263460056083,-4.901566974388459,1.0,200,0.004975124378109453,62.96188521385193
clip_b,dtd,cosine_geodesic,haar,p999,0.0972860000562949,0.00034324951702626783,0.12858378623667557,0.006148883433449442,-0.03129778618038068,-5.082082769600063,1.0,200,0.004975124378109453,74.55983138084412
clip_l,dtd,cosine_geodesic,haar,p999,0.09810975123599755,0.0003242796471882572,0.12883560973952643,0.005630598328721236,-0.03072585850352888,-5.447916202212783,1.0,200,0.004975124378109453,85.76805901527405
siglip_b,dtd,cosine_geodesic,haar,p999,0.09866352899619044,0.00020743102620576472,0.1254039566842722,0.005313590013970228,-0.02674042768808177,-5.028629478360256,1.0,200,0.004975124378109453,86.10444688796997
i21k_t,fashionmnist,cosine_geodesic,haar,p999,0.15893768664209415,0.0,0.15173853177503305,0.020779429827405892,0.007199154867061103,0.3464558424777455,0.365,73,0.6368159203980099,80.81306767463684
i21k_s,fashionmnist,cosine_geodesic,haar,p999,0.09975660679750711,1.3877787807814457e-17,0.14889354049483658,0.020141433144045286,-0.049136933697329466,-2.4395947073833995,1.0,200,0.004975124378109453,80.04352736473083
i21k_b,fashionmnist,cosine_geodesic,haar,p999,0.10678700800636251,0.0,0.14828150571543997,0.01961574254944824,-0.041494497709077455,-2.115367165146885,0.995,199,0.009950248756218905,61.88968467712402
i21k_l,fashionmnist,cosine_geodesic,haar,p999,0.08788493082739537,1.3877787807814457e-17,0.15361487359516932,0.01971123953480836,-0.06572994276777394,-3.3346427885319185,1.0,200,0.004975124378109453,59.31848859786987
dinov1_b,fashionmnist,cosine_geodesic,haar,p999,0.14635756777980374,2.7755575615628914e-17,0.15202149245373422,0.020539723627550268,-0.005663924673930482,-0.27575466820465716,0.58,116,0.4228855721393035,58.30778670310974
dinov2_s,fashionmnist,cosine_geodesic,haar,p999,0.10585365183943911,1.3877787807814457e-17,0.159998717464695,0.020407995060128383,-0.05414506562525588,-2.653130082878179,1.0,200,0.004975124378109453,57.672324419021606
dinov2_b,fashionmnist,cosine_geodesic,haar,p999,0.09093683715734005,0.0,0.17153797717256425,0.02189128910665322,-0.0806011400152242,-3.6818818491016976,1.0,200,0.004975124378109453,56.80444550514221
dinov2_l,fashionmnist,cosine_geodesic,haar,p999,0.11579431093016065,0.0,0.16722884745242453,0.021188537920413232,-0.051434536522263874,-2.427469828992371,1.0,200,0.004975124378109453,57.831079721450806
dinov2_g,fashionmnist,cosine_geodesic,haar,p999,0.10566078026171066,0.0,0.16957922881094178,0.021253369694715658,-0.06391844854923112,-3.0074500875559287,1.0,200,0.004975124378109453,58.59754681587219
clip_b,fashionmnist,cosine_geodesic,haar,p999,0.13633821268634744,2.7755575615628914e-17,0.17388947808227076,0.027474234711948358,-0.03755126539592332,-1.3667811238284475,0.925,185,0.07960199004975124,58.83051633834839
clip_l,fashionmnist,cosine_geodesic,haar,p999,0.11629324323769567,1.3877787807814457e-17,0.15456208405315144,0.024447214183378606,-0.03826884081545577,-1.5653661201804474,0.96,192,0.04477611940298507,59.540855407714844
siglip_b,fashionmnist,cosine_geodesic,haar,p999,0.1067874057715665,0.0,0.15860356665834663,0.020824185177855527,-0.051816160886780135,-2.4882683497206664,0.995,199,0.009950248756218905,59.24674463272095
