cloud,frame,seed,dec_seed,depth,z,star_sd,time_s
synthetic_flat_vitl_spectrum,balanced,3,-1,-0.02524124574178216,-3.3129222047626627,0.003622402754236055,136.58503198623657
synthetic_flat_vitl_spectrum,balanced,3,0,-0.014428039998898376,-2.706600081998481,0.002624077911815139,175.49584364891052
synthetic_flat_vitl_spectrum,balanced,3,1,-0.014195935754683506,-1.736195764643075,0.0043554709601601686,182.11057353019714
synthetic_flat_vitl_spectrum,balanced,3,2,-0.015299171238413161,-3.7480793122616594,0.0021165775668316946,272.5432758331299
synthetic_flat_vitl_spectrum,balanced,3,3,-0.01314473596031263,-2.6313560934886135,0.0019097641972692845,360.5027596950531
synthetic_flat_vitl_spectrum,balanced,3,4,-0.013224611974283325,-1.7334691759588812,0.004134727484903179,377.1471576690674
synthetic_flat_vitl_spectrum,balanced,3,5,-0.015456220191889164,-2.8631472518332206,0.0022208386982094735,360.5867416858673
synthetic_flat_vitl_spectrum,balanced,3,6,-0.015566099900554,-2.396030031222991,0.002428934140159184,366.3694818019867
synthetic_flat_vitl_spectrum,balanced,3,7,-0.016399779843015355,-2.845761342559696,0.0024275538587268173,358.9831893444061
synthetic_flat_vitl_spectrum,balanced,3,8,-0.014568676089308136,-2.5491116213980693,0.0036254608786185976,365.3492851257324
synthetic_flat_vitl_spectrum,balanced,3,9,-0.012305745389905608,-2.4382159598848308,0.002275607746134351,306.49709010124207
