cloud,frame,seed,dec_seed,depth,z,star_sd,time_s
synthetic_flat_vitl_spectrum,balanced,1,-1,-0.030938465848668717,-3.3531663655452792,0.0026926996903762408,126.12608742713928
synthetic_flat_vitl_spectrum,balanced,1,0,-0.01419019275729722,-2.670021527143181,0.0009767964333248459,172.69006061553955
synthetic_flat_vitl_spectrum,balanced,1,1,-0.0114274694619111,-2.0936765379669553,0.0029418328422887107,177.80534100532532
synthetic_flat_vitl_spectrum,balanced,1,2,-0.011189869201523832,-1.8507337870299905,0.002442050988179418,276.3869879245758
synthetic_flat_vitl_spectrum,balanced,1,3,-0.012860626381600258,-2.394272340652487,0.0028847093361877374,353.5411283969879
synthetic_flat_vitl_spectrum,balanced,1,4,-0.013030031564655379,-2.283292541195375,0.002640158910855034,340.8301064968109
synthetic_flat_vitl_spectrum,balanced,1,5,-0.014709900356524069,-2.6740690032135044,0.0025459788645253354,370.5055727958679
synthetic_flat_vitl_spectrum,balanced,1,6,-0.01529496020995774,-2.8321401766809617,0.0024096403834208547,341.6178619861603
synthetic_flat_vitl_spectrum,balanced,1,7,-0.011732929539891617,-1.608452796218457,0.0030531934245470495,354.1582865715027
synthetic_flat_vitl_spectrum,balanced,1,8,-0.012530797543982505,-2.0142234738573097,0.0031795827557060223,354.24815797805786
synthetic_flat_vitl_spectrum,balanced,1,9,-0.011938450965207638,-2.538056728970835,0.0019306800426331923,329.2989766597748
