model,dataset,null,stat,n,d,delta,delta_sd,null_mean,null_sd,excess,z,frac_null_above,r_above,p_left,time_s
dinov2_l,dtd,haar,p999,47,1024,0.06926402629604358,0.00039434552188302675,0.11122027160835955,0.0036145014258347156,-0.04195624531231597,-11.539281561639116,1.0,200,0.004975124378109453,100.2063398361206
dinov2_g,dtd,haar,p999,47,1536,0.07308887946938485,0.0002303184640741918,0.1117244415705758,0.003887721761481142,-0.03863556210119096,-9.920447819683806,1.0,200,0.004975124378109453,100.39982342720032
clip_b,dtd,haar,p999,47,512,0.09882658147110926,0.00018551046647280768,0.12279249196725385,0.006520390065383914,-0.02396591049614459,-3.67404657467799,1.0,200,0.004975124378109453,90.08071994781494
clip_l,dtd,haar,p999,47,768,0.09791602685789025,0.00023660329674651888,0.12453434325164339,0.005827877381952468,-0.026618316393753144,-4.5636524291785525,1.0,200,0.004975124378109453,90.48302698135376
siglip_b,dtd,haar,p999,47,768,0.0961696797036115,0.00023303961698772178,0.1194683453264985,0.005572360841775366,-0.023298665622887002,-4.177460630804616,1.0,200,0.004975124378109453,88.15425944328308
i21k_t,fashionmnist,haar,p999,10,192,0.1533356490177405,0.0,0.13496173420023516,0.020224446678316334,0.018373914817505332,0.9085002477326091,0.17,34,0.8308457711442786,69.71171236038208
i21k_s,fashionmnist,haar,p999,10,384,0.10164670080883054,0.0,0.13484621688446397,0.019323105613359048,-0.03319951607563343,-1.7181252713684343,0.98,196,0.024875621890547265,68.66562223434448
i21k_b,fashionmnist,haar,p999,10,768,0.09840654422505626,0.0,0.14027749388706215,0.01964937088947689,-0.041870949662005885,-2.1309053555719504,1.0,200,0.004975124378109453,69.30622458457947
i21k_l,fashionmnist,haar,p999,10,1024,0.09336748126687247,1.3877787807814457e-17,0.1440646611431359,0.020008579054677574,-0.05069717987626343,-2.5337721253329843,1.0,200,0.004975124378109453,70.50452709197998
dinov1_b,fashionmnist,haar,p999,10,768,0.13503588484727033,0.0,0.14177537125814083,0.020591499756717747,-0.006739486410870493,-0.3272945871109661,0.635,127,0.3681592039800995,71.09522819519043
dinov2_s,fashionmnist,haar,p999,10,384,0.10671717081770522,1.3877787807814457e-17,0.1380871366502565,0.02005902430478312,-0.031369965832551264,-1.5638829364731874,0.965,193,0.03980099502487562,67.87165665626526
