cloud,frame,seed,dec_seed,depth,z,star_sd,time_s,built
synthetic_flat_vitl_spectrum,balanced,0,-1,3.4139716226849835e-05,0.00652480477704781,0.0015096514102784313,319.9190497398376,balanced
synthetic_flat_vitl_spectrum,balanced,0,0,-0.004299686454731506,-0.7575014992976518,0.0034320670040288216,338.38475918769836,balanced
synthetic_flat_vitl_spectrum,balanced,0,1,-0.0034296109499176875,-0.6444268744481648,0.0028430209165718717,376.96455240249634,balanced
synthetic_flat_vitl_spectrum,balanced,0,2,-0.0011192755418107769,-0.1982800578497725,0.0029810856561835225,349.6912178993225,balanced
synthetic_flat_vitl_spectrum,balanced,0,3,-0.002651896298322217,-0.4397385423478825,0.0035985231172855165,356.9325981140137,balanced
synthetic_flat_vitl_spectrum,balanced,0,4,-0.0018640340972215454,-0.347352849088242,0.003016102709663773,354.09138011932373,balanced
synthetic_flat_vitl_spectrum,balanced,0,5,-0.0026698050536448237,-0.4979578978922602,0.0027871471544871533,338.22476935386663,balanced
synthetic_flat_vitl_spectrum,balanced,0,6,-0.0035245735463492,-0.6978451957905495,0.0021924751995812527,257.6788415908813,balanced
synthetic_flat_vitl_spectrum,balanced,0,7,-0.003530175939120083,-0.7215315173494294,0.0027584636311933732,161.63430905342105,balanced
synthetic_flat_vitl_spectrum,balanced,0,8,-0.004142732289074398,-0.7780039862446237,0.0031154234875372462,159.41742849349976,balanced
synthetic_flat_vitl_spectrum,balanced,0,9,-0.0012939732079627056,-0.2656906037614168,0.0030846736971803703,149.7307193279266,balanced
synthetic_flat_vitl_spectrum,balanced,1,-1,-0.002250666292254863,-0.4010997301109083,0.0018266638563615245,326.56669473648066,balanced
synthetic_flat_vitl_spectrum,balanced,1,0,-0.00395158285184446,-0.7281373563445694,0.00251443909752656,346.0966956615448,balanced
synthetic_flat_vitl_spectrum,balanced,1,1,-0.0016620799841786868,-0.3611973847113772,0.0023416542918056962,364.99320816993713,balanced
synthetic_flat_vitl_spectrum,balanced,1,2,-0.005354989475832614,-0.9978202770649,0.0028514016450330274,351.5045611858368,balanced
synthetic_flat_vitl_spectrum,balanced,1,3,-0.0024951176495967907,-0.3983147004200889,0.0030977932936230032,365.90829491615295,balanced
synthetic_flat_vitl_spectrum,balanced,1,4,-0.002970725239801457,-0.4746082970583802,0.0018300552272213309,377.7978219985962,balanced
synthetic_flat_vitl_spectrum,balanced,1,5,-0.004732051905725089,-1.3759244977946117,0.0018053610450294477,343.13341712951666,balanced
synthetic_flat_vitl_spectrum,balanced,1,6,-0.0023829644029071924,-0.4838056763831396,0.002730011189090034,250.6822025775909,balanced
synthetic_flat_vitl_spectrum,balanced,1,7,-0.002890601877483037,-0.566396975568919,0.0008707144935452574,159.01761484146118,balanced
