model,kind,null,stat,d,delta,delta_sd,null_mean,null_sd,excess,z,frac_null_above,r_above,p_left,time_s
bge_base,embed,haar,p999,768,0.07757440450260705,0.0003421508033036474,0.07442747367120126,0.0032325644081692266,0.0031469308314057975,0.968101293162408,0.13,26,0.8706467661691543,454.4396994113922
bge_large,embed,haar,p999,1024,0.07779356420824982,0.00031467815337460076,0.0753159149415454,0.00312930421523597,0.002477649266704421,0.7877842158725601,0.245,49,0.7562189054726368,641.7365357875824
gte_base,embed,haar,p999,768,0.07557151636880924,0.00029630479875114986,0.07158724137342638,0.0026420032514770874,0.0039842749953828555,1.4986551833833295,0.055,11,0.945273631840796,465.1157145500183
gte_large,embed,haar,p999,1024,0.07462552104594429,0.00039219693755824316,0.07212262036808567,0.00272938261144891,0.002502900677858619,0.9076975960735636,0.18,36,0.8208955223880597,613.1908848285675
gte_qwen2,embed,haar,p999,1536,0.07770928910628393,0.0003523944470637862,0.07540899195833065,0.0033769376479199083,0.0023002971479532813,0.6774995861878391,0.29,58,0.7114427860696517,914.1496415138245
e5_base,embed,haar,p999,768,0.0742891351387698,0.0003454607710036149,0.0702344623095183,0.003012029701693672,0.004054672829251496,1.3373919284175013,0.075,15,0.9253731343283582,367.4934754371643
e5_large,embed,haar,p999,1024,0.07093733007206542,0.00017366111520599202,0.06859698115869557,0.0028555950548353505,0.002340348913369844,0.8180547599153108,0.22,44,0.7810945273631841,409.8107624053955
