model,kind,d,delta,delta_sd,null_mean,null_sd,excess,time_s
gpt2,causal,768,0.1307896645749767,0.007016646425922743,0.08310754111024683,0.0020282081619751,0.04768212346472987,28.405055284500122
gpt2_m,causal,1024,0.09051378032495502,0.0041786985325349595,0.10311762922348529,0.0022210310528664465,-0.012603848898530265,38.80562901496887
gpt2_l,causal,1280,0.09493967538612438,0.003698498804153386,0.12884154091810096,0.005726408631242798,-0.03390186553197658,306.79625153541565
gpt2_xl,causal,1600,0.08299851404174645,0.005322955310722666,0.13071917530166413,0.007132714178271236,-0.04772066125991768,539.7207341194153
