cloud,frame,seed,dec_seed,depth,z,star_sd,time_s
synthetic_flat_vitl_spectrum,balanced,4,-1,-0.021913538981732303,-2.870480153770605,0.0030085012478024663,132.61867094039917
synthetic_flat_vitl_spectrum,balanced,4,0,-0.015239588678488373,-2.2412628917032937,0.0029653053328863805,174.39034342765808
synthetic_flat_vitl_spectrum,balanced,4,1,-0.01083543811190248,-1.7567237575307004,0.0025200315628867197,167.69473695755005
synthetic_flat_vitl_spectrum,balanced,4,2,-0.012525237992761364,-2.5972477451063503,0.0023904811602839552,272.9629707336426
synthetic_flat_vitl_spectrum,balanced,4,3,-0.013647642956094535,-2.670355550571705,0.0029970262094519903,366.6145758628845
synthetic_flat_vitl_spectrum,balanced,4,4,-0.014650326807495733,-2.6239818439315665,0.002672787149103065,350.5877332687378
synthetic_flat_vitl_spectrum,balanced,4,5,-0.015852855305635016,-2.565022054235471,0.003467334796417384,370.41358828544617
synthetic_flat_vitl_spectrum,balanced,4,6,-0.012153671425050446,-1.921457411445699,0.003484671002698999,325.1495258808136
synthetic_flat_vitl_spectrum,balanced,4,7,-0.01362646910886826,-2.369486468464693,0.0026155673048743476,368.08811688423157
synthetic_flat_vitl_spectrum,balanced,4,8,-0.010802774641627277,-2.0208865433662337,0.0030972733029225865,351.6583299636841
synthetic_flat_vitl_spectrum,balanced,4,9,-0.014411294604841923,-2.4536957828876496,0.0020433713596201214,336.5771803855896
