model,family,size,dataset,modality,K,n,d,curv,delta_999,delta_sd,null_mean,null_sd,excess,z,r_above,p_left,delta_999_native,delta_999_native_sd,excessB_real,excessB_star,depth,z_depth,depth_regime,time_s
meru_l,meru,l,cifar100,image,20,100,512,0.10000000149011612,0.11805290185547887,0.0005776100350159428,0.13019207587243783,0.006001704373310555,-0.012139174016958965,-2.0133185994975227,195,0.029850746268656716,0.11795995255565303,0.0005616334983552088,-0.0033807016893772635,0.0005163651951062582,-0.0038970668844835214,-0.2886388571363096,unvalidated,179.05197954177856
meru_l,meru,l,cifar100,text,20,100,512,0.10000000149011612,0.10239843380324551,0.00043393117321078955,0.10866942719689905,0.0034623698517612374,-0.006270993393653543,-1.7971265116122308,190,0.05472636815920398,0.10227820416307976,0.00042756099379983,0.0064094525427936255,0.0007971461864561436,0.005612306356337482,0.5846947735891204,unvalidated,174.73619627952576
meru_l,meru,l,imagenet,image,30,1000,512,0.10000000149011612,0.0880371963631458,0.00041106739872550486,0.09553552200120748,0.004683662721034524,-0.007498325638061673,-1.5948227692810582,184,0.0845771144278607,0.08784094947973833,0.0004058052017085079,-0.0055035706576364585,-7.510392532980581e-07,-0.005502819618383161,-0.5239199213470397,validated,561.8856365680695
meru_l,meru,l,imagenet,text,30,1000,512,0.10000000149011612,0.09306237285244087,0.0005141378463243363,0.09191866482589854,0.003392429310744487,0.001143708026542331,0.33332905931995505,75,0.6268656716417911,0.09286824578259853,0.0004964120020661965,0.00528075915811968,-0.00016208060329485352,0.0054428397614145335,0.5158904938086274,validated,563.4269247055054
