cloud,built,frame,seed,dec_seed,depth,z,star_sd,time_s
synthetic_flat_vitl_spectrum,balanced,balanced,4,-1,-0.0026356151945839817,-0.5018059183982662,0.0013476162086069052,326.9133450984955
synthetic_flat_vitl_spectrum,balanced,balanced,4,0,-0.004446386700679729,-0.905164763576827,0.0026287369433934888,364.89500546455383
synthetic_flat_vitl_spectrum,balanced,balanced,4,1,-0.0011810899957815073,-0.17776242335285541,0.004012682579221826,363.87923288345337
synthetic_flat_vitl_spectrum,balanced,balanced,4,2,-0.004534858042456439,-0.9120468422204334,0.003092891086870708,378.05824041366577
synthetic_flat_vitl_spectrum,balanced,balanced,4,3,-0.0041618614463044224,-0.7726092823692766,0.0036253055224451346,367.19585490226746
synthetic_flat_vitl_spectrum,balanced,balanced,4,4,-0.0060498214510841565,-1.1190329140756472,0.0030605213520517494,349.0962896347046
synthetic_flat_vitl_spectrum,balanced,balanced,4,5,-0.004662181131046777,-0.860780450605914,0.001957780381551405,357.9774765968323
synthetic_flat_vitl_spectrum,balanced,balanced,4,6,-0.004518853271289887,-0.89820869397557,0.0026461243830384145,221.53894972801208
synthetic_flat_vitl_spectrum,balanced,balanced,4,7,-0.0022619996999368903,-0.43770370092993305,0.0019084519500540409,160.87977027893066
synthetic_flat_vitl_spectrum,balanced,balanced,4,8,-0.004755668128392373,-0.9702624653531865,0.0026974982304561524,160.12061142921448
synthetic_flat_vitl_spectrum,balanced,balanced,4,9,-0.002953559783282063,-0.4775173544465813,0.002731520004671769,122.33710050582886
