model,kind,a,b,ari_cut,coph_corr,triplet_agree
dinov2_l,boot_pair,0,1,0.7079632628566292,0.9382044021560128,0.7958
dinov2_l,boot_pair,0,2,0.7037687250433449,0.94017596253591,0.8522
dinov2_l,boot_pair,0,3,0.7168912497779388,0.9368708704504112,0.8205
dinov2_l,boot_pair,0,4,0.7089419944620876,0.9378052977706652,0.8706
dinov2_l,boot_pair,0,5,0.6354192601574893,0.9267128745486123,0.8265
dinov2_l,boot_pair,0,6,0.6947366601557013,0.9347900577918646,0.8506
dinov2_l,boot_pair,0,7,0.7277018942507608,0.9353583178619344,0.8224
dinov2_l,boot_pair,0,8,0.7048474277510732,0.9402215978077882,0.8431
dinov2_l,boot_pair,0,9,0.7536307135161243,0.936878687215622,0.8577
dinov2_l,boot_pair,0,10,0.7732435754785483,0.9389080292534866,0.8324
dinov2_l,boot_pair,0,11,0.7390903816408826,0.94110691872626,0.8429
dinov2_l,boot_pair,0,12,0.8326791866702379,0.9380576074510499,0.8415
dinov2_l,boot_pair,0,13,0.718188808089696,0.9337517619430209,0.8237
dinov2_l,boot_pair,0,14,0.7314462537536093,0.9309778302986926,0.8372
dinov2_l,boot_pair,0,15,0.7380147324843965,0.9304658738758926,0.8492
dinov2_l,boot_pair,0,16,0.7408914680763277,0.9448809723235612,0.8647
dinov2_l,boot_pair,0,17,0.6876536505189348,0.9359217034540449,0.831
dinov2_l,boot_pair,0,18,0.6834008601386495,0.9330082582057786,0.8158
dinov2_l,boot_pair,0,19,0.7504813444393924,0.939801347390675,0.8484
dinov2_l,boot_pair,0,20,0.7389547096369815,0.9445986496714809,0.8526
dinov2_l,boot_pair,0,21,0.7320976322082504,0.9473570290479515,0.8585
dinov2_l,boot_pair,0,22,0.7051687121055714,0.9305655515801259,0.8521
dinov2_l,boot_pair,0,23,0.7521600015701151,0.9447990170130584,0.8714
dinov2_l,boot_pair,0,24,0.7088551848912011,0.9315039515302022,0.7167
dinov2_l,boot_pair,0,25,0.7858927864498005,0.946749953476499,0.8406
dinov2_l,boot_pair,0,26,0.7053215338352222,0.9356317252649174,0.8608
dinov2_l,boot_pair,0,27,0.6946365934360461,0.9256320555978143,0.8279
dinov2_l,boot_pair,0,28,0.7514332947230244,0.9393258325996603,0.8534
dinov2_l,boot_pair,0,29,0.7230572021877955,0.9337568200291342,0.8315
dinov2_l,boot_pair,1,2,0.8017376602598724,0.9440125565089279,0.821
dinov2_l,boot_pair,1,3,0.8041074073529648,0.9321082012161591,0.7929
dinov2_l,boot_pair,1,4,0.81410656546083,0.9455524206063423,0.8338
dinov2_l,boot_pair,1,5,0.7805268730579292,0.9429451990479918,0.8021
dinov2_l,boot_pair,1,6,0.8587174796254405,0.9454350386737802,0.8108
dinov2_l,boot_pair,1,7,0.8006432784409352,0.9355764364382774,0.7945
dinov2_l,boot_pair,1,8,0.7925150125362436,0.9378938023343575,0.7889
dinov2_l,boot_pair,1,9,0.8223494109152288,0.9391529745051289,0.8024
dinov2_l,boot_pair,1,10,0.7966771134901255,0.9447542479834644,0.7934
dinov2_l,boot_pair,1,11,0.697534643920988,0.9326532432254746,0.7674
dinov2_l,boot_pair,1,12,0.694479797171692,0.9277732531651349,0.8033
