model,dataset,null,stat,n,d,delta,delta_sd,null_mean,null_sd,excess,z,r_above,p_left,time_s
i21k_t,cifar10,haar_centered,p999,10,192,0.12219879620197657,0.0,0.13381171815967943,0.017901766526271814,-0.01161292195770286,-0.6487025702553023,148,0.263681592039801,186.14496755599976
i21k_s,cifar10,haar_centered,p999,10,384,0.0859252978448907,1.3877787807814457e-17,0.12788515458058833,0.017220716169985432,-0.04195985673569763,-2.436591853759885,199,0.009950248756218905,167.7382457256317
i21k_b,cifar10,haar_centered,p999,10,768,0.08912335947310047,0.0,0.12681872799622618,0.018076197752547634,-0.0376953685231257,-2.085359379176573,196,0.024875621890547265,169.74269580841064
i21k_l,cifar10,haar_centered,p999,10,1024,0.08357815749110106,1.3877787807814457e-17,0.12039374007281005,0.015009375840919076,-0.036815582581708986,-2.4528390102232684,200,0.004975124378109453,157.24474692344666
dinov1_b,cifar10,haar_centered,p999,10,768,0.08839522628605256,0.0,0.1303510200589878,0.017457312638708044,-0.041955793772935235,-2.403336334820904,199,0.009950248756218905,161.51491785049438
dinov2_s,cifar10,haar_centered,p999,10,384,0.08393180116410728,0.0,0.11655067332752188,0.014910881631316618,-0.032618872163414595,-2.187588431720008,200,0.004975124378109453,160.0922553539276
dinov2_b,cifar10,haar_centered,p999,10,768,0.04576619530477449,0.0,0.11033563847152233,0.013173399725589063,-0.06456944316674784,-4.9015018531110846,200,0.004975124378109453,156.38374876976013
dinov2_l,cifar10,haar_centered,p999,10,1024,0.027459458662460006,0.0,0.11122654221804792,0.01394329129282777,-0.08376708355558792,-6.00769802454579,200,0.004975124378109453,158.3278567790985
dinov2_g,cifar10,haar_centered,p999,10,1536,0.025407403002162116,0.0,0.1026307548513504,0.011791367980807101,-0.07722335184918828,-6.5491427266866165,200,0.004975124378109453,161.43090677261353
clip_b,cifar10,haar_centered,p999,10,512,0.10510009138196408,0.0,0.1267907629731046,0.016622245436359,-0.02169067159114052,-1.304918259941885,184,0.0845771144278607,156.02958726882935
clip_l,cifar10,haar_centered,p999,10,768,0.09893099602982094,0.0,0.11924524122432763,0.01574801985655939,-0.020314245194506683,-1.2899555232682387,180,0.1044776119402985,158.94477677345276
siglip_b,cifar10,haar_centered,p999,10,768,0.08738363341151585,1.3877787807814457e-17,0.11419942395226786,0.015409506861486597,-0.026815790540752005,-1.7402108180225706,197,0.01990049751243781,156.59781050682068
