config,seed,delta,excessA_gauss,zA_gauss,excessB_gauss,zB_gauss,excessA_haar,zA_haar,excessB_haar,zB_haar,time_s
star30_tight,0,0.0536965157224526,-0.11644848966682564,-31.767808291539872,-0.12741582798738998,-8.79788522147102,-0.11588094425153439,-21.29605646738256,-0.05852224652016455,-5.556405337886599,48.7963593006134
star30_tight,1,0.055922198069466925,-0.1140411417104746,-29.838792434918705,-0.12481436573827333,-8.502134176342892,-0.11386534717523943,-21.531504381430278,-0.05679952535985963,-5.739807135318528,50.56497120857239
star30_mid,0,0.05848246746329279,-0.10490176266514974,-32.0868100751146,-0.11512258031731697,-8.658850834724642,-0.10393726373122282,-19.57030350118065,-0.04953371605503637,-5.6025835751098025,73.38672852516174
star30_mid,1,0.06027102118617674,-0.10305872517862422,-28.510732263370432,-0.11276892338183878,-8.354448708607995,-0.10255066984360545,-19.440309707872697,-0.04798233397167873,-5.303664005572039,51.235767126083374
star30_loose,0,0.061105710136366995,-0.08416006208447342,-21.59231514034278,-0.089920973613358,-7.306218656449758,-0.08220125891048895,-14.726191997066305,-0.03318068705029724,-4.621414396254911,55.136317014694214
star30_loose,1,0.06180553478652615,-0.08380020744650371,-22.196221157266926,-0.08918529670442157,-8.086436545888102,-0.08204788326845816,-15.113999752269427,-0.03330206251924437,-4.272874423281579,64.83943009376526
hier6x5_mid,0,0.04880861135494945,-0.13793320380824087,-14.662661432748038,-0.10865903616517138,-3.5671236357040708,-0.13794428868828779,-16.725048904776905,-0.10728036032649381,-2.8899944738204235,78.77755093574524
hier6x5_mid,1,0.03939952592507795,-0.14853581858747558,-14.36305249221081,-0.11815808035924599,-4.049614116341382,-0.14774334866601518,-20.312889305382683,-0.11758550488557606,-3.22490288574185,55.855958223342896
