model,dataset,null,stat,n,d,delta,delta_sd,null_mean,null_sd,excess,z,frac_null_above,r_above,p_left,time_s
i21k_t,imagenet,haar,p999,1000,192,0.08783908467353604,0.0003035147351940353,0.09281630855527487,0.0045870907694923035,-0.004977223881738824,-1.0826827731848814,0.845,169,0.15920398009950248,285.557772397995
i21k_s,imagenet,haar,p999,1000,384,0.06289278478250815,0.00026560569479597545,0.07518287514874017,0.003315142360881404,-0.01229009036623202,-3.695417150697983,1.0,200,0.004975124378109453,326.823575258255
i21k_b,imagenet,haar,p999,1000,768,0.05393620095877087,0.00019941582908156085,0.07010633399869341,0.003029123212252993,-0.01617013303992254,-5.3266919183370645,1.0,200,0.004975124378109453,564.4043984413147
i21k_l,imagenet,haar,p999,1000,1024,0.055454520906013514,0.00017080526901697715,0.07119662953357829,0.003115564280340811,-0.015742108627564776,-5.045154996157542,1.0,200,0.004975124378109453,732.6665785312653
dinov1_b,imagenet,haar,p999,1000,768,0.0552455916591852,0.00037318144621323107,0.07552051380706402,0.0022352487932028957,-0.02027492214787882,-8.946713583723326,1.0,200,0.004975124378109453,554.05175948143
dinov2_s,imagenet,haar,p999,1000,384,0.05293377280502317,0.00023910565046815884,0.06909242501008404,0.0009185910204642494,-0.016158652205060874,-17.023439950862638,1.0,200,0.004975124378109453,367.4940209388733
