dataset,trial,n,n_rep,delta_rel_sup,null_mean,null_sd,excess_sup,r_above,p_left,time_s
cub,5,1500,200,0.2889840644912461,0.2916133602074657,0.01958104819023721,-0.002629295716219615,103,0.48756218905472637,4390.492466926575
cub,6,1500,200,0.2800643707330848,0.29124909969286583,0.01956721443087884,-0.01118472895978101,134,0.3333333333333333,4410.990271568298
cub,7,1500,200,0.2780085059629092,0.2906976699043261,0.01939963457489532,-0.012689163941416892,139,0.30845771144278605,4301.742759227753
cub,8,1500,200,0.26538619947959247,0.2920805396888945,0.019713748114388314,-0.02669434020930206,180,0.1044776119402985,4272.610424995422
cub,9,1500,200,0.2681695800891452,0.2913914850107711,0.019445837870703687,-0.023221904921625902,178,0.11442786069651742,4280.990357160568
