model,dataset,excess,sd_null,sd_boot,sd_est,z_joint,joint_genuine,genuine_bh_record,n_boot,n_boot_genuine,boot_bh_genuine,boot_excess_mean,boot_frac_negative
clip_b,cifar10,-0.03629097211335211,0.019973048031488257,0.0011667952216990022,0.0,-1.8139046505963616,False,True,30,7,False,-0.04014964805621089,1.0
clip_l,cifar10,-0.043242041628795136,0.021832387084267917,0.0011615781551580452,0.0,-1.9778400037442085,False,True,30,30,True,-0.04589330997245991,1.0
dinov1_b,cifar10,-0.06135923534105675,0.022826562019597933,0.0011151718069677752,0.0,-2.684860832888511,True,True,30,30,True,-0.06427149994082915,1.0
dinov2_b,cifar10,-0.1121825794650855,0.025917912898771538,0.0005321024023503656,0.0,-4.327468237397524,True,True,30,30,True,-0.11770512944054609,1.0
dinov2_g,cifar10,-0.1302698723302258,0.02690369594517648,0.00033033127991245677,0.0,-4.841715956162907,True,True,30,30,True,-0.13499021615171794,1.0
dinov2_l,cifar10,-0.12756438781439913,0.02599844877394498,0.0005216375007874225,0.0,-4.9056280163794845,True,True,30,30,True,-0.1322020652815432,1.0
dinov2_s,cifar10,-0.07103255874128772,0.025228295025308288,0.0013257235452237442,0.0,-2.8117114725312695,True,True,30,30,True,-0.07565616091701717,1.0
i21k_b,cifar10,-0.04990709922565127,0.02056259606690788,0.0012977035595597766,0.0,-2.4222626586029334,True,True,30,30,True,-0.05387107350348861,1.0
i21k_l,cifar10,-0.059614541385513815,0.020940013445257324,0.000992968416881324,1.3877787807814454e-17,-2.8437244801076855,True,True,30,30,True,-0.06206365815468177,1.0
i21k_s,cifar10,-0.05594556905389561,0.021078414112684844,0.0011119010864497165,1.3877787807814454e-17,-2.6504789563634144,True,True,30,30,True,-0.058774450985359696,1.0
i21k_t,cifar10,-0.021345449935569027,0.02027800382661349,0.001403399442446343,0.0,-1.0501286722764003,False,False,30,0,False,-0.02460774209730158,1.0
siglip_b,cifar10,-0.05018437807244607,0.019466347953009857,0.0008042767723058356,1.3877787807814454e-17,-2.5758092756898394,True,True,30,30,True,-0.053232788628385964,1.0
clip_b,cifar100,-0.019453584326126844,0.006245658290681192,0.0007144102499797515,0.00035877607415080425,-3.089530954425623,True,True,30,30,True,-0.018295384861263444,1.0
clip_l,cifar100,-0.0180952897441592,0.005027764673935125,0.0008606755948386717,0.0005306858483585809,-3.5284258864037557,True,True,30,30,True,-0.017642558876608684,1.0
dinov1_b,cifar100,-0.031635693489725385,0.0041332149761274285,0.00058875549120475,0.00020743078514805192,-7.568190363080741,True,True,30,30,True,-0.031057030668743314,1.0
dinov2_b,cifar100,-0.03132137704238215,0.002093727387020954,0.0003687011107216725,0.00022545167916675392,-14.650779518559567,True,True,30,30,True,-0.031099175917075474,1.0
dinov2_g,cifar100,-0.039549440949580975,0.0013606769359124171,0.00023279123900924394,0.00014585741071636364,-28.491143082547172,True,True,30,30,True,-0.039608942246250674,1.0
