model,d,excess_in,r_in,p_in,null_in,excess_c100,r_c100,p_c100,null_c100,depth_gauss,z_gauss,r_star_gauss,depth_haar,z_haar,r_star_haar,spearman_wn,spearman_shuf,ari_euclid-average,ari_euclid-ward,ari_cosine-average,ari_cosine-complete,ari_cosine-ward,ari_max,time_s
deit_b,768,-0.00730928644468027,200,0.004975124378109453,0.04626578387769554,-0.025726795665428973,200,0.004975124378109453,0.1137194646137301,-0.021347589654704027,-1.2618944472828133,0,-0.01974356983060317,-1.2063924562477342,0,0.07873602880559584,0.007722662819151631,0.21888796607946845,0.5644714266860235,0.23169912693082606,0.3771027426672392,0.536604487076022,0.5644714266860235,399.6514208316803
vit_b_in1k,768,-0.006994385701698164,199,0.009950248756218905,0.05958453129128866,-0.011680308653696986,187,0.06965174129353234,0.11719639823845387,-0.024894687004876,-3.0325853629418935,0,-0.028987555543570593,-2.65427704083434,0,0.5158247046896121,0.010083404828750241,0.29567242048378056,0.43696474805815577,0.4018606640645886,0.4221671547645866,0.4769452449567723,0.4769452449567723,404.11104345321655
i21k_b,768,-0.01617013303999583,200,0.004975124378109453,0.0701063339987667,0.005727553303539329,43,0.7860696517412935,0.12020199790546801,-0.03346298992813023,-3.6197812241629204,0,-0.03468311411572512,-3.0102722281272487,0,0.4797743924729778,-0.002612732194402901,0.3882798485150488,0.6097240473061761,0.4318350118483412,0.4471592750004765,0.5733060128594645,0.6097240473061761,405.442147731781
