model,n_seeds,real_z,real_certified,dec_z_mean,dec_z_sd,dec_z_min,dec_z_max,dec_depth_mean,frac_certified
i21k_t,10,-1.4813579176116465,False,-1.6888080463221598,0.27571929581810584,-2.019449805243085,-1.2136451107555757,-0.018863219433982944,0.1
i21k_s,10,-2.361505082329531,True,-1.2988289882476078,0.19289264369532208,-1.558390606590721,-1.0004238113142991,-0.015502585196957016,0.0
i21k_b,10,-3.619781224237433,True,-1.40361068377038,0.2545416315661142,-1.7556043978267564,-1.0703664833426916,-0.012862449467143652,0.0
i21k_l,10,-4.040148732302261,True,-1.6126068331266683,0.1929415256198126,-1.9285571133058619,-1.4022224677911568,-0.014946624203790119,0.0
dinov1_b,10,-0.9404819250777352,False,1.7520218868421786,0.15610255133286524,1.5086720553282862,2.0255109857874363,0.013309759788641537,0.0
dinov2_s,10,0.6622476122330512,False,1.3768317353420223,0.13851767303297452,1.123344772016723,1.5449026444241871,0.013647745210841842,0.0
dinov2_b,10,-1.1904942991902543,False,0.40801568014341205,0.1095476472781092,0.2321332180848011,0.5418810094461466,0.004891417855841339,0.0
dinov2_l,10,-2.3878543686819467,True,-0.2023774590761306,0.14292959232592536,-0.4112419559334651,-0.02861109318008008,-0.0022428319928566483,0.0
dinov2_g,10,-1.7783407590685485,False,-0.03811747757801287,0.06531304296050461,-0.16820487397386594,0.07481062434585294,-0.0005029263702885776,0.0
clip_b,10,-1.9509375149849155,False,-1.2479484291591039,0.09040809361982487,-1.4117402490132729,-1.0686811560426377,-0.01634821409620098,0.0
clip_l,10,-0.8272454930859939,False,-0.88004368982288,0.21536165086051856,-1.2823939398192177,-0.5700446705790999,-0.009216055291530746,0.0
siglip_b,10,-0.9002032195421371,False,-0.8389624992283317,0.18325457819344834,-1.040678762799061,-0.5710228526928918,-0.00886581822481961,0.0
