model,frame,partition,s,seed,kind,n,d,hub_rms,ratio,excessB_real,excessB_star,excessB_star_sd,depth,z,time_s,delta_999,delta_sd,null_mean,null_sd,excess,r_above,p_left
dinov2_g,wn30,real,real,0,depth,1000,1536,23.693113327026367,3.923668146133423,-0.02841619491956754,0.0005697875106583609,0.006411038400558249,-0.0289859824302259,-1.7783407590685483,162.52229404449463,,,,,,,
dinov2_g,wn30,rand6,0.0,0,depth,1000,1536,23.693113327026367,1.7440736293792725,-0.0024795659598882275,0.0006725362329042764,0.006259054069754416,-0.0031521021927925037,-0.21018722701394374,157.1004707813263,,,,,,,
dinov2_g,wn30,rand6,0.0,1,depth,1000,1536,23.693111419677734,1.7427239418029785,-0.005718189230686704,0.0006563792201791541,0.006268304224532015,-0.006374568450865858,-0.3965806247637134,160.529150724411,,,,,,,
dinov2_g,wn30,rand6,0.0,2,depth,1000,1536,23.693111419677734,1.7447599172592163,-0.0023594407021953617,0.000681724814900074,0.00625136877764049,-0.0030411655170954357,-0.17864371111791555,164.10889196395874,,,,,,,
dinov2_g,wn30,rand6,0.0,3,depth,1000,1536,23.693113327026367,1.7456434965133667,-0.00435387271039453,0.0006855022906503333,0.006249255014294381,-0.0050393750010448626,-0.31003484976958307,161.4187445640564,,,,,,,
dinov2_g,wn30,rand6,0.0,4,depth,1000,1536,23.693113327026367,1.7531929016113281,-0.0017547664334247315,0.0006763123852054909,0.006256951397996582,-0.0024310788186302223,-0.16344466983275724,163.72635412216187,,,,,,,
dinov2_g,wn30,rand6,0.25,0,depth,1000,1536,23.693113327026367,1.7570098638534546,-0.002124141121779083,0.0006855015187254218,0.006249255734586355,-0.0028096426405045047,-0.1723649722053383,159.34497547149658,,,,,,,
dinov2_g,wn30,rand6,0.25,1,depth,1000,1536,23.693113327026367,1.7508890628814697,-0.002190444042964132,0.0006563802306631172,0.0062683034659605525,-0.0028468242736272493,-0.1750758946668059,154.23505306243896,,,,,,,
dinov2_g,wn30,rand6,0.25,2,depth,1000,1536,23.6931095123291,1.7554758787155151,0.00016170793119689442,0.0006855017957651796,0.006249256307157378,-0.0005237938645682852,-0.0338800293869695,161.1710786819458,,,,,,,
dinov2_g,wn30,rand6,0.25,3,depth,1000,1536,23.693111419677734,1.7593433856964111,0.00013788186216812104,0.0006655677990013695,0.006260655198172472,-0.0005276859368332484,-0.031187732287774026,154.95957612991333,,,,,,,
dinov2_g,wn30,rand6,0.25,4,depth,1000,1536,23.693113327026367,1.7467836141586304,-0.0002471222492123615,0.0006725361298767551,0.006259055018925798,-0.0009196583790891166,-0.06021201401506618,154.3694350719452,,,,,,,
dinov2_g,wn30,rand6,0.5,0,depth,1000,1536,23.693113327026367,1.7577605247497559,0.008193703536938865,0.0006974133451185568,0.006219929990004411,0.007496290191820308,0.4742602733251298,146.94688725471497,,,,,,,
dinov2_g,wn30,rand6,0.5,1,depth,1000,1536,23.693113327026367,1.7704782485961914,0.007820066089589989,0.0006563794986129134,0.006268303837497134,0.007163686590977075,0.3935108298039929,151.26594948768616,,,,,,,
dinov2_g,wn30,rand6,0.5,2,depth,1000,1536,23.693111419677734,1.77953040599823,0.007292392719141352,0.000672536441162866,0.0062590545545389955,0.006619856277978486,0.36789661566084975,154.75411868095398,,,,,,,
dinov2_g,wn30,rand6,0.5,3,depth,1000,1536,23.693113327026367,1.778843641281128,0.006815350231169207,0.00070096763523331,0.006224099445280935,0.006114382595935897,0.3525939031368457,145.84433364868164,,,,,,,
dinov2_g,wn30,rand6,0.5,4,depth,1000,1536,23.693113327026367,1.7713607549667358,0.006228581697001537,0.0006817264447251364,0.006251367558534067,0.0055468552522764,0.3141328583476063,151.0917911529541,,,,,,,
dinov2_g,wn30,rand6,0.75,0,depth,1000,1536,23.693113327026367,1.7913490533828735,0.021340818018686883,0.0006725363692921566,0.006259054563545459,0.020668281649394726,1.228613448050395,144.5080602169037,,,,,,,
dinov2_g,wn30,rand6,0.75,1,depth,1000,1536,23.693113327026367,1.8102126121520996,0.017457196832282904,0.0006855015850357457,0.006249256593960179,0.016771695247247156,0.9578170348883862,152.00457429885864,,,,,,,
dinov2_g,wn30,rand6,0.75,2,depth,1000,1536,23.693113327026367,1.795712947845459,0.019511699543506775,0.0006655684707473173,0.006260655082390368,0.018846131072759457,1.1506572683425749,150.58220672607422,,,,,,,
dinov2_g,wn30,rand6,0.75,3,depth,1000,1536,23.693115234375,1.7921245098114014,0.019582571837911816,0.0007171233354117748,0.006214656252629693,0.01886544850250004,1.1933181258597176,152.12534880638123,,,,,,,
dinov2_g,wn30,rand6,0.75,4,depth,1000,1536,23.693111419677734,1.8014341592788696,0.021203294269638837,0.0006817252119145995,0.006251368699589768,0.02052156905772424,1.1872271171790587,149.63424038887024,,,,,,,
dinov2_g,wn30,rand6,1.0,0,depth,1000,1536,23.693113327026367,1.828688144683838,0.017426546454425665,0.0006763121257164107,0.006256951922169412,0.016750234328709254,1.3807848758984222,143.05505466461182,,,,,,,
