cloud,frame,seed,dec_seed,depth,z,star_sd,time_s
synthetic_flat_vitl_spectrum,balanced,2,-1,-0.024939895874558582,-2.680763172187693,0.0023558513002604675,132.9664545059204
synthetic_flat_vitl_spectrum,balanced,2,0,-0.015109435799191568,-2.599869695850993,0.002489235482793125,173.59136962890625
synthetic_flat_vitl_spectrum,balanced,2,1,-0.015773631127416893,-2.652167198207071,0.004235697413856839,173.07017827033997
synthetic_flat_vitl_spectrum,balanced,2,2,-0.014511156659571745,-2.4646777582190023,0.002812039745880842,254.41143321990967
synthetic_flat_vitl_spectrum,balanced,2,3,-0.013135884215702057,-2.020294495748219,0.0021428179722258675,369.91922640800476
synthetic_flat_vitl_spectrum,balanced,2,4,-0.01224416548171971,-2.284497774355657,0.0026253898477315986,360.34747433662415
synthetic_flat_vitl_spectrum,balanced,2,5,-0.01031930404396996,-2.3278349712452067,0.002201048584294177,371.2213685512543
synthetic_flat_vitl_spectrum,balanced,2,6,-0.013598722795866009,-2.05769399284308,0.0029633523599949386,355.46863651275635
synthetic_flat_vitl_spectrum,balanced,2,7,-0.01288173804351431,-2.190407193879913,0.0018303947862424467,345.83533120155334
synthetic_flat_vitl_spectrum,balanced,2,8,-0.012539968176869469,-2.0949840446393666,0.002941422895478072,352.6494734287262
synthetic_flat_vitl_spectrum,balanced,2,9,-0.009933700330777409,-1.6962256672406342,0.002523299465445586,323.5942368507385
