epoch,step,gstep,img_per_s,acc_leaf,loss_leaf,lr_enc,t
0,0,1,38.6,0.0,8.5478,2e-08,1789930077.2779725
0,50,51,60.1,0.1328125,5.34,1.02e-06,1789930287.7385626
0,100,101,64.2,0.78125,1.3106,2.02e-06,1789930473.693623
0,150,151,70.3,0.87890625,0.7045,3.0200000000000003e-06,1789930620.5820174
0,200,201,73.7,0.8828125,0.7252,4.0200000000000005e-06,1789930768.672002
0,250,251,76.6,0.87109375,0.5972,5.02e-06,1789930909.350834
0,300,301,77.7,0.9296875,0.4464,6.02e-06,1789931062.6674979
0,350,351,78.5,0.98046875,0.1668,7.0200000000000006e-06,1789931215.0711226
0,400,401,79.8,0.9140625,0.7047,8.020000000000001e-06,1789931357.1243
0,450,451,80.8,0.89453125,0.5042,9.020000000000002e-06,1789931500.3559518
0,500,501,81.1,0.9296875,0.288,1e-05,1789931652.2615535
0,550,551,81.4,0.92578125,0.3987,1e-05,1789931803.4303212
0,600,601,81.6,0.890625,0.7457,1e-05,1789931955.1054401
0,650,651,81.9,0.8984375,0.4522,1e-05,1789932104.389438
0,700,701,82.2,0.94921875,0.2384,1e-05,1789932254.1367457
0,750,751,82.3,0.9453125,0.1542,1e-05,1789932405.3305507
0,800,801,82.6,0.90234375,0.5079,1e-05,1789932553.6840072
0,850,851,82.3,0.9140625,0.4838,1e-05,1789932717.9910862
0,900,901,82.3,0.91015625,0.3697,1e-05,1789932873.3947728
0,950,951,82.3,0.96484375,0.1369,1e-05,1789933028.2884636
0,1000,1001,82.4,0.90234375,0.8738,1e-05,1789933181.4776402
0,1050,1051,82.6,0.9453125,0.4551,1e-05,1789933328.6636915
0,1100,1101,82.8,0.890625,0.4629,1e-05,1789933476.7522395
0,1150,1151,82.7,0.95703125,0.1172,1e-05,1789933635.4798725
0,1200,1201,82.8,0.87109375,1.0086,1e-05,1789933785.7739778
0,1250,1251,82.8,0.87890625,0.5218,1e-05,1789933940.0635273
0,1300,1301,82.9,0.9296875,0.3332,1e-05,1789934088.0624995
0,1350,1351,82.9,0.984375,0.0862,1e-05,1789934240.3671854
0,1400,1401,82.9,0.95703125,0.2465,1e-05,1789934398.2474294
0,1450,1451,82.7,0.9296875,0.4714,1e-05,1789934563.4253612
0,1500,1501,82.7,0.91015625,0.5399,1e-05,1789934714.275495
0,1550,1551,82.9,0.94140625,0.1801,1e-05,1789934861.0474987
0,1600,1601,83.0,0.89453125,0.803,1e-05,1789935008.4078417
0,1650,1651,83.1,0.90234375,0.5746,1e-05,1789935159.8092515
0,1700,1701,82.7,0.8828125,0.6148,1e-05,1789935338.8006296
0,1750,1751,82.5,0.91796875,0.2399,1e-05,1789935505.0535407
0,1800,1801,82.5,0.859375,0.9739,1e-05,1789935658.4347346
0,1850,1851,82.5,0.890625,0.9675,1e-05,1789935815.8974848
0,1900,1901,82.2,0.90625,0.481,1e-05,1789935988.7655578
0,1950,1951,82.3,0.88671875,0.3738,1e-05,1789936142.3792527
0,2000,2001,82.3,0.91796875,0.5441,1e-05,1789936293.1861165
0,2050,2051,82.4,0.9296875,0.5563,1e-05,1789936442.7562108
0,2100,2101,82.5,0.95703125,0.2473,1e-05,1789936588.8970513
0,2150,2151,82.4,0.93359375,0.2189,1e-05,1789936751.180294
0,2200,2201,82.5,0.93359375,0.4484,1e-05,1789936902.6242685
0,2250,2251,82.6,0.921875,0.4444,1e-05,1789937048.631478
0,2300,2301,82.4,0.875,0.5656,1e-05,1789937222.7794263
0,2350,2351,82.2,0.90234375,0.3824,1e-05,1789937391.7082374
0,2400,2401,81.9,0.8515625,0.6048,1e-05,1789937574.553652
0,2450,2451,81.7,0.8671875,0.6444,1e-05,1789937750.873662
0,2500,2501,81.7,0.9453125,0.2185,1e-05,1789937903.3833964
0,2550,2551,81.8,0.890625,0.4694,1e-05,1789938052.5675328
0,2600,2601,81.9,0.91015625,0.6385,1e-05,1789938205.0735114
0,2650,2651,81.9,0.8984375,0.6618,1e-05,1789938356.6129332
0,2700,2701,81.9,0.91796875,0.2632,1e-05,1789938509.6009939
0,2750,2751,82.0,0.9375,0.2668,1e-05,1789938659.0473454
0,2800,2801,81.9,0.83984375,1.0348,1e-05,1789938820.760449
0,2850,2851,81.7,0.9375,0.3393,1e-05,1789939000.3722332
0,2900,2901,81.7,0.91796875,0.4226,1e-05,1789939156.0056646
0,2950,2951,81.8,0.94140625,0.2485,1e-05,1789939302.5140162
0,3000,3001,81.9,0.90625,0.6949,1e-05,1789939451.5652719
0,3050,3051,81.9,0.93359375,0.3821,1e-05,1789939606.8640213
0,3100,3101,82.0,0.98828125,0.103,1e-05,1789939752.0957901
0,3150,3151,82.0,0.93359375,0.2611,1e-05,1789939907.5833385
0,3200,3201,82.0,0.92578125,0.2911,1e-05,1789940065.1629467
0,3250,3251,82.0,0.8828125,0.9283,1e-05,1789940223.609331
0,3300,3301,81.9,0.9140625,0.551,1e-05,1789940386.6627326
