model,transform,certified_real,z_aniso,z_haarhubs,keeps_aniso,keeps_haarhubs,dec_runs,dec_z_mean,dec_frac_certified
i21k_t,l2norm,False,0.27074512746463125,-0.17219782305340892,False,False,10,-0.7808873200225549,0.0
i21k_t,deradial,False,-2.063840880840639,-2.0710238326442534,True,True,10,-1.7410089415514065,0.3
i21k_s,l2norm,True,-0.7595943979220892,-0.9316276517017522,False,False,10,-1.1643458669958051,0.0
i21k_s,deradial,True,-2.2627273297879213,-2.0753021338460527,True,True,10,-1.245790831252373,0.0
i21k_b,l2norm,True,-2.4502076508200976,-2.5179009204810416,True,True,10,-0.5728252398464357,0.0
i21k_b,deradial,True,-3.5993841607352794,-3.5723607771250294,True,True,10,-1.397128294334864,0.0
i21k_l,l2norm,True,-2.0027392275575018,-2.234086195000596,True,True,10,-1.413958739053228,0.1
i21k_l,deradial,True,-3.990352665976461,-3.470941724052747,True,True,10,-1.4651214421697856,0.0
dinov1_b,l2norm,False,0.8236526194975882,0.9497872305355236,False,False,10,1.9956982077656042,0.0
dinov1_b,deradial,False,-1.6149435982466511,-1.8917821098536995,False,False,10,1.9143183238298072,0.0
dinov2_s,l2norm,False,1.272704453971574,1.3795504529258087,False,False,10,1.2834731262495813,0.0
dinov2_s,deradial,False,0.6096591123418236,0.5753640531182387,False,False,10,1.42984418746375,0.0
dinov2_b,l2norm,False,-0.06853124582255722,-0.013660676865140598,False,False,10,1.2790551449571115,0.0
dinov2_b,deradial,False,-1.184740264433022,-1.1943246762003126,False,False,10,0.4562809193377307,0.0
dinov2_l,l2norm,True,-0.4593866775135119,-0.4975754903218854,False,False,10,0.8876767114806305,0.0
dinov2_l,deradial,True,-2.5947643329753705,-2.2781827572399926,True,True,10,-0.01087684488259899,0.0
dinov2_g,l2norm,False,-0.7839658017591041,-0.7587964974401575,False,False,10,0.8811729000004702,0.0
dinov2_g,deradial,False,-1.7515502481370266,-1.6582281580433715,False,False,10,0.10947956746500638,0.0
clip_b,l2norm,False,-1.418852648796508,-0.9271148690142728,False,False,10,-1.3756029507284868,0.0
clip_b,deradial,False,-1.5264007080499178,-1.0579727323262411,False,False,10,-1.1923321770028266,0.0
clip_l,l2norm,False,-1.5690050780393703,-1.1231106581712662,False,False,10,-0.8185374670185036,0.0
clip_l,deradial,False,-1.0450834329143586,-0.8909540521027571,False,False,10,-0.9202198388002344,0.0
siglip_b,l2norm,False,-1.1286475516076997,-0.8755627556177334,False,False,10,-0.5137379906853484,0.0
siglip_b,deradial,False,-1.1158406346834164,-1.0701038379984404,False,False,10,-0.8894080345777488,0.0
