cloud,built,frame,seed,dec_seed,depth,z,star_sd,time_s
synthetic_flat_vitl_spectrum,balanced,balanced,2,-1,-0.0038176980317989693,-1.078288966269143,0.002386253037300384,307.86797738075256
synthetic_flat_vitl_spectrum,balanced,balanced,2,0,-0.0057089664445110575,-1.1127261372259338,0.002217424315342903,352.2090108394623
synthetic_flat_vitl_spectrum,balanced,balanced,2,1,-0.006144748813005574,-1.18540739850757,0.0024504524209850507,359.4511649608612
synthetic_flat_vitl_spectrum,balanced,balanced,2,2,-0.006024886484908591,-0.9431043494404648,0.003236775364592685,358.04176473617554
synthetic_flat_vitl_spectrum,balanced,balanced,2,3,-0.004686930816052466,-0.808128240812989,0.0036104132393360543,346.404753446579
synthetic_flat_vitl_spectrum,balanced,balanced,2,4,-0.006018741462349939,-1.52003423592007,0.0023369691174809585,343.269180059433
synthetic_flat_vitl_spectrum,balanced,balanced,2,5,-0.00297561360663495,-0.575493284049635,0.0030477687454344197,358.16073775291443
synthetic_flat_vitl_spectrum,balanced,balanced,2,6,-0.005832219350517634,-1.0133656465775178,0.002942564387665607,263.34834337234497
synthetic_flat_vitl_spectrum,balanced,balanced,2,7,-0.0058366051900770235,-0.9335468680187964,0.003147521805520767,153.21715664863586
synthetic_flat_vitl_spectrum,balanced,balanced,2,8,-0.007152026242677396,-1.0786252716754103,0.003483825690552953,166.38118243217468
synthetic_flat_vitl_spectrum,balanced,balanced,2,9,-0.006646742258382702,-1.2304219820266507,0.003872930453822599,157.94334864616394
