step,epoch,ce_loss_cls,ce_loss_sup,ce_acc,hier_loss_cls,hier_loss_sup,hier_acc
0,0,8.636398315429688,4.748989105224609,0.0,8.636398315429688,4.748989105224609,0.0
49,0,5.8991546630859375,3.9231185913085938,0.140625,5.9922637939453125,1.1964671611785889,0.09375
99,0,1.1297812461853027,4.782291412353516,0.7890625,1.1968371868133545,0.4619908630847931,0.7890625
149,0,1.0011234283447266,4.1238555908203125,0.78125,1.076256513595581,0.2912243604660034,0.765625
199,0,0.972366452217102,4.286376953125,0.8046875,1.0272345542907715,0.26742154359817505,0.796875
249,0,0.8283025622367859,4.144294738769531,0.8359375,0.8137799501419067,0.20022140443325043,0.8359375
299,0,1.3632959127426147,3.8655738830566406,0.75,1.4824399948120117,0.3335336446762085,0.703125
349,0,0.9502370953559875,3.939990997314453,0.8125,0.9846572875976562,0.30341845750808716,0.8125
399,0,1.0280818939208984,4.034210205078125,0.796875,0.9230147004127502,0.33438047766685486,0.8203125
449,0,0.9581579566001892,3.9077911376953125,0.7734375,0.9810550212860107,0.18081742525100708,0.7890625
499,0,0.7505899667739868,3.8274765014648438,0.84375,0.6701005697250366,0.17750771343708038,0.8359375
549,0,1.0221675634384155,3.6623306274414062,0.7265625,1.0424896478652954,0.19201026856899261,0.7578125
599,0,0.6312416791915894,3.9207916259765625,0.8359375,0.6802447438240051,0.22688157856464386,0.859375
649,0,0.7803963422775269,3.9030990600585938,0.828125,0.6614882349967957,0.14963507652282715,0.8671875
699,0,0.7637402415275574,3.9858322143554688,0.84375,0.7969703674316406,0.12248498201370239,0.8515625
749,0,0.5787968635559082,3.8538360595703125,0.875,0.5874608159065247,0.10586606711149216,0.859375
799,1,0.33108723163604736,4.225688934326172,0.90625,0.38369712233543396,0.07775917649269104,0.90625
849,1,0.14485730230808258,3.9447174072265625,0.953125,0.12775561213493347,0.13529542088508606,0.96875
899,1,0.10202810168266296,4.318141937255859,0.96875,0.09642252326011658,0.039115577936172485,0.9765625
949,1,0.23936526477336884,4.1457977294921875,0.921875,0.268424391746521,0.052572548389434814,0.9140625
999,1,0.22597169876098633,3.895111083984375,0.9296875,0.20700553059577942,0.03185245394706726,0.9453125
1049,1,0.18428386747837067,3.9883193969726562,0.9453125,0.23694197833538055,0.05736909806728363,0.9453125
1099,1,0.1436547189950943,4.1124420166015625,0.9609375,0.16734318435192108,0.15865817666053772,0.9609375
1149,1,0.2644575536251068,4.360504150390625,0.9296875,0.2911284565925598,0.07064194977283478,0.921875
1199,1,0.10858052968978882,4.147655487060547,0.96875,0.1123146265745163,0.05306825041770935,0.9609375
1249,1,0.16566909849643707,4.3195037841796875,0.9453125,0.17678013443946838,0.046139929443597794,0.9375
1299,1,0.10472573339939117,4.1394195556640625,0.9609375,0.11214113235473633,0.03417929261922836,0.953125
1349,1,0.1488068401813507,4.079448699951172,0.953125,0.1375335305929184,0.05296829342842102,0.953125
1399,1,0.15284742414951324,4.363616943359375,0.953125,0.16793857514858246,0.04048014059662819,0.9375
1449,1,0.09604652225971222,4.1038055419921875,0.953125,0.10053417831659317,0.022454064339399338,0.953125
1499,1,0.08400622010231018,4.2193756103515625,0.9765625,0.06861993670463562,0.050736330449581146,0.984375
1549,1,0.22473560273647308,4.271995544433594,0.9609375,0.21410955488681793,0.07853899151086807,0.9375
