model,transform,star,dec_seed,excessB_real,excessB_star,star_sd,depth,z,r_star,p_star,time_s
dinov2_g,l2norm,aniso,-1,-0.015158026485278503,2.0125715169455606e-05,0.0064667992082172495,-0.015178152200447959,-0.7839658017591041,0,0.09090909090909091,667.0536439418793
dinov2_g,l2norm,aniso_haarhubs,-1,-0.015158026485278503,-5.047024784239629e-05,0.007961490019975129,-0.015107556237436107,-0.7587964974401575,0,0.09090909090909091,612.1178574562073
dinov2_g,l2norm,aniso_decoupled,0,0.014699883338036734,-0.0007663947209043023,0.005871961376062259,0.015466278058941036,0.8430048320463379,10,1.0,764.3611443042755
dinov2_g,l2norm,aniso_decoupled,1,0.016882652187206512,-0.0002418643432222284,0.005734703182204196,0.017124516530428742,0.8456716931505678,10,1.0,813.3419919013977
dinov2_g,l2norm,aniso_decoupled,2,0.0184986157598436,0.0002549607487248265,0.006170891358842924,0.018243655011118774,0.9169625612208399,10,1.0,580.2570283412933
dinov2_g,l2norm,aniso_decoupled,3,0.017814399229297215,-0.0011021353660345527,0.005964344952179183,0.01891653459533177,0.9341092089415399,10,1.0,558.6523456573486
dinov2_g,l2norm,aniso_decoupled,4,0.015129739315624155,-8.038692504922645e-05,0.0066298693819151246,0.015210126240673381,0.8237916131543414,10,1.0,566.233639717102
dinov2_g,l2norm,aniso_decoupled,5,0.01674290145150137,-0.001230965205445475,0.005221674912141707,0.017973866656946842,0.8860387226137324,10,1.0,581.8287575244904
dinov2_g,l2norm,aniso_decoupled,6,0.013582112536635035,-0.0002999634909850196,0.005924469666200904,0.013882076027620056,0.7236256359941627,10,1.0,582.4772214889526
dinov2_g,l2norm,aniso_decoupled,7,0.01938907318581523,0.0001890199306996826,0.005793562232279826,0.01920005325511555,1.0423231043990786,10,1.0,648.1869130134583
dinov2_g,l2norm,aniso_decoupled,8,0.018423990543529153,-0.00047764976493724356,0.005121272028277823,0.018901640308466396,0.9818715320761722,10,1.0,590.5758640766144
dinov2_g,l2norm,aniso_decoupled,9,0.015058312311073324,-0.0001883917654184525,0.006124803145445213,0.015246704076491776,0.8143300964079297,10,1.0,576.2587132453918
dinov2_g,deradial,aniso,-1,-0.028670890631468257,0.00034489809950122297,0.0071837407581913535,-0.02901578873096948,-1.7515502481370266,0,0.09090909090909091,425.8365948200226
dinov2_g,deradial,aniso_haarhubs,-1,-0.028670890631468257,0.0003897137976719159,0.009182054487573834,-0.02906060442914017,-1.6582281580433715,0,0.09090909090909091,435.62278962135315
dinov2_g,deradial,aniso_decoupled,0,0.0005964982794655349,-0.0004263432455469854,0.007091636542251752,0.0010228415250125202,0.07720433462280439,6,0.6363636363636364,588.0592112541199
dinov2_g,deradial,aniso_decoupled,1,0.001862007743625424,0.00015972124591836638,0.005908606664180051,0.0017022864977070575,0.12951543617849506,7,0.7272727272727273,560.5086271762848
dinov2_g,deradial,aniso_decoupled,2,0.0015467076170369715,-0.0002985488359569952,0.00698987961827466,0.0018452564529939665,0.15271474955927267,7,0.7272727272727273,581.4300444126129
dinov2_g,deradial,aniso_decoupled,3,0.0014015384871567255,-0.00019364729241051483,0.005967124112383356,0.0015951857795672402,0.1333265511273082,6,0.6363636363636364,483.1254127025604
dinov2_g,deradial,aniso_decoupled,4,0.0009445967449139975,-0.0005818398800204169,0.0071979549000021105,0.0015264366249344145,0.12337816011902905,7,0.7272727272727273,499.88914132118225
dinov2_g,deradial,aniso_decoupled,5,0.001681733182833406,-0.0003665847136810521,0.0075094164476418165,0.002048317896514458,0.1491256211763298,7,0.7272727272727273,498.0100417137146
dinov2_g,deradial,aniso_decoupled,6,0.0015913192795598274,-0.000374022144882237,0.007228788521818612,0.0019653414244420646,0.1428597745242246,7,0.7272727272727273,561.3739943504333
dinov2_g,deradial,aniso_decoupled,7,0.00045159386243463773,-0.0003763324155109979,0.006669614218306413,0.0008279262779456356,0.059504355596719814,7,0.7272727272727273,526.07843708992
dinov2_g,deradial,aniso_decoupled,8,0.0020049735467360247,0.0003145697348177351,0.005818456443282009,0.0016904038119182896,0.14554725446351197,8,0.8181818181818182,527.138433933258
dinov2_g,deradial,aniso_decoupled,9,-0.00038651221389775225,-0.00014837735137967627,0.007372461721200317,-0.00023813486251807598,-0.018380562717631638,4,0.45454545454545453,452.6693549156189
clip_b,l2norm,aniso,-1,-0.012250557368657641,0.0007975185011147926,0.003782295121815258,-0.013048075869772434,-1.4188526487965079,0,0.09090909090909091,230.46558141708374
clip_b,l2norm,aniso_haarhubs,-1,-0.012250557368657641,-0.0010748747562295865,0.008662593049270412,-0.011175682612428055,-0.9271148690142728,2,0.2727272727272727,263.8555738925934
clip_b,l2norm,aniso_decoupled,0,-0.01933454491538461,0.0010047622603448186,0.0028287524806871805,-0.02033930717572943,-1.7939075532112825,0,0.09090909090909091,245.03398418426514
clip_b,l2norm,aniso_decoupled,1,-0.013324460397137278,0.0007510299940469672,0.0016563694819967361,-0.014075490391184244,-1.1896611862724256,0,0.09090909090909091,240.12251830101013
clip_b,l2norm,aniso_decoupled,2,-0.014255948751342853,0.0006370555142915166,0.003254344007750463,-0.01489300426563437,-1.138563520487303,0,0.09090909090909091,239.9370744228363
clip_b,l2norm,aniso_decoupled,3,-0.016434314880682976,0.0001813465065555034,0.003981058571964758,-0.01661566138723848,-1.3424483745328113,0,0.09090909090909091,240.43991327285767
clip_b,l2norm,aniso_decoupled,4,-0.017439032758134063,0.00017692753761141544,0.0017079655351799072,-0.017615960295745477,-1.46137410708857,0,0.09090909090909091,229.3987901210785
clip_b,l2norm,aniso_decoupled,5,-0.01611832889840463,0.000471530746418608,0.003669442991537769,-0.01658985964482324,-1.455310097893199,0,0.09090909090909091,212.79997849464417
clip_b,l2norm,aniso_decoupled,6,-0.01640021413395705,-0.0006759043810528095,0.0031109758162818054,-0.01572430975290424,-1.2182860528604533,0,0.09090909090909091,198.92661666870117
clip_b,l2norm,aniso_decoupled,7,-0.016584677326766287,0.0016021647100499705,0.002228635798032421,-0.018186842036816257,-1.4509759813948333,0,0.09090909090909091,227.7636365890503
clip_b,l2norm,aniso_decoupled,8,-0.015105017948774793,0.0014315365119648995,0.0035955783946208537,-0.01653655446073969,-1.3368468985660191,0,0.09090909090909091,195.88682460784912
clip_b,l2norm,aniso_decoupled,9,-0.016498327983590216,0.0015157057417746049,0.0033676473942300454,-0.018014033725364823,-1.3686557349779724,0,0.09090909090909091,204.85406303405762
clip_b,deradial,aniso,-1,-0.014955513678675147,-0.002588631569262459,0.004285443303950199,-0.012366882109412688,-1.5264007080499178,0,0.09090909090909091,297.7374699115753
clip_b,deradial,aniso_haarhubs,-1,-0.014955513678675147,-0.0031223032089047753,0.00882170524524351,-0.011833210469770372,-1.0579727323262413,1,0.18181818181818182,282.60130882263184
