model,partition,s,seed,kind,n,d,hub_rms,ratio,excessB_real,excessB_star,excessB_star_sd,depth,z,time_s,delta_999,delta_sd,null_mean,null_sd,excess,r_above,p_left
dinov2_g,real,real,0,depth,1000,1536,23.69311332702637,3.9236681461334233,-0.02841619491956754,0.0005697875106583609,0.006411038400558249,-0.0289859824302259,-1.7783407590685485,148.26050925254822,,,,,,,
dinov2_g,rand6,0.0,0,depth,1000,1536,23.69311332702637,1.7440736293792725,-0.0024795659598882275,0.0006725362329042763,0.006259054069754416,-0.0031521021927925037,-0.2101872270139437,152.6669645309448,,,,,,,
dinov2_g,rand6,0.0,1,depth,1000,1536,23.69311141967773,1.7427239418029783,-0.0057181892306867035,0.0006563792201791541,0.006268304224532015,-0.006374568450865857,-0.3965806247637134,157.8066577911377,,,,,,,
dinov2_g,rand6,0.0,2,depth,1000,1536,23.69311141967773,1.7447599172592163,-0.0023594407021953613,0.000681724814900074,0.0062513687776404895,-0.003041165517095436,-0.17864371111791555,162.72339105606082,,,,,,,
dinov2_g,rand6,0.0,3,depth,1000,1536,23.69311332702637,1.7456434965133667,-0.00435387271039453,0.0006855022906503332,0.006249255014294381,-0.005039375001044863,-0.3100348497695831,158.99968338012698,,,,,,,
dinov2_g,rand6,0.0,4,depth,1000,1536,23.69311332702637,1.753192901611328,-0.0017547664334247315,0.000676312385205491,0.006256951397996582,-0.0024310788186302228,-0.16344466983275724,162.00327777862552,,,,,,,
dinov2_g,rand6,0.25,0,depth,1000,1536,23.69311141967773,1.7588857412338257,-0.0014217323886830252,0.0006725353665795754,0.006259054272713282,-0.0020942677552626006,-0.12589353462302053,155.1609308719635,,,,,,,
dinov2_g,rand6,0.25,1,depth,1000,1536,23.69311332702637,1.7533227205276491,-0.0014025907532766724,0.0006855020419330463,0.006249256209902296,-0.0020880927952097185,-0.12769915125571318,153.12987732887268,,,,,,,
dinov2_g,rand6,0.25,2,depth,1000,1536,23.69311141967773,1.7570067644119265,-0.0002315903047079432,0.0006725355895310438,0.006259054495291563,-0.0009041258942389873,-0.05882594855044115,148.87571740150455,,,,,,,
dinov2_g,rand6,0.25,3,depth,1000,1536,23.69311332702637,1.760638952255249,0.0011188506278764498,0.0006725363585938919,0.006259054720186309,0.0004463142692825578,0.026619661374197173,159.6293818950653,,,,,,,
dinov2_g,rand6,0.25,4,depth,1000,1536,23.69311332702637,1.7481379508972168,0.0003837010325208612,0.0006817250732113992,0.006251368022293345,-0.000298024040690538,-0.019554029517408637,161.67271995544434,,,,,,,
dinov2_g,rand6,0.5,0,depth,1000,1536,23.69311332702637,1.770378351211548,0.01390887908844192,0.0006655685992092459,0.006260654914949738,0.013243310489232671,0.7663664395204363,153.65090942382812,,,,,,,
dinov2_g,rand6,0.5,1,depth,1000,1536,23.69311332702637,1.7826684713363647,0.013269966394530291,0.0006855020916004777,0.006249255320645503,0.012584464302929813,0.6556091582569876,152.1996841430664,,,,,,,
dinov2_g,rand6,0.5,2,depth,1000,1536,23.69311332702637,1.7924460172653198,0.014560838742556537,0.0006725368820571037,0.006259055293467639,0.01388830186049943,0.7343070563463312,152.60383629798892,,,,,,,
dinov2_g,rand6,0.5,3,depth,1000,1536,23.69311332702637,1.7930580377578735,0.01486927167016849,0.0006655681430031231,0.006260655618619858,0.014203703527165368,0.7526502797093773,158.55494952201843,,,,,,,
