epoch,step,gstep,img_per_s,acc_leaf,loss_leaf,lr_enc,t
0,3750,3751,78.2,0.90625,0.4133,1e-05,1790072361.3020558
0,3800,3801,78.2,0.89453125,0.5003,1e-05,1790072533.3622842
0,3850,3851,78.1,0.92578125,0.4251,1e-05,1790072705.3647456
0,3900,3901,78.1,0.921875,0.341,1e-05,1790072873.4117157
0,3950,3951,78.1,0.921875,0.2662,1e-05,1790073043.7607312
0,4000,4001,78.0,0.96484375,0.3887,1e-05,1790073215.2898111
0,4050,4051,78.0,0.93359375,0.4824,1e-05,1790073388.9922135
0,4100,4101,77.9,0.90625,0.4832,1e-05,1790073562.6162782
0,4150,4151,77.9,0.90234375,0.4002,1e-05,1790073730.0222466
0,4200,4201,77.8,0.90625,0.826,1e-05,1790073901.3733616
0,4250,4251,77.8,0.95703125,0.1709,1e-05,1790074069.755673
0,4300,4301,77.8,0.92578125,0.4998,1e-05,1790074238.232382
0,4350,4351,77.8,0.94140625,0.2644,1e-05,1790074408.1888022
0,4400,4401,77.7,0.9375,0.6502,1e-05,1790074577.946481
0,4450,4451,77.7,0.921875,0.6106,1e-05,1790074749.029328
0,4500,4501,77.7,0.94140625,0.2175,1e-05,1790074924.828519
0,4550,4551,77.5,0.91015625,0.2489,1e-05,1790075115.5029209
0,4600,4601,77.4,0.93359375,0.64,1e-05,1790075306.9781034
0,4650,4651,77.4,0.94140625,0.1392,1e-05,1790075476.8200474
0,4700,4701,77.3,0.9296875,0.2968,1e-05,1790075647.842721
0,4750,4751,77.3,0.9375,0.1999,1e-05,1790075816.2366374
0,4800,4801,77.3,0.91796875,0.7534,1e-05,1790075986.537607
0,4850,4851,77.3,0.93359375,0.3726,1e-05,1790076153.7977624
0,4900,4901,77.3,0.9609375,0.0905,1e-05,1790076320.968672
0,4950,4951,77.5,0.96875,0.0986,1e-05,1790076442.8922875
0,5000,5001,77.9,0.9921875,0.0319,1e-05,1790076529.9586806
0,5003,5004,77.9,0.9921875,0.0269,1e-05,1790076534.2141929
1,0,5005,63.9,0.46484375,3.3458,1e-05,1790076539.9287858
1,50,5055,58.2,0.890625,0.4982,1e-05,1790076760.2566245
1,100,5105,64.9,0.953125,0.1754,1e-05,1790076934.1240072
1,150,5155,68.3,0.9765625,0.0618,1e-05,1790077102.124625
1,200,5205,70.6,0.96875,0.1069,1e-05,1790077264.8287451
1,250,5255,72.8,0.9453125,0.1697,1e-05,1790077418.007086
1,300,5305,74.2,0.9765625,0.1128,1e-05,1790077574.856663
1,350,5355,75.0,0.96875,0.1134,1e-05,1790077733.759991
1,400,5405,75.4,0.93359375,0.5042,1e-05,1790077897.9176636
1,450,5455,75.6,0.96484375,0.2152,1e-05,1790078063.0939295
1,500,5505,76.1,0.96875,0.1121,1e-05,1790078221.2026908
1,550,5555,76.3,0.97265625,0.1319,1e-05,1790078383.6880257
1,600,5605,76.4,0.9375,0.2595,1e-05,1790078549.3611326
1,650,5655,76.6,0.94921875,0.2971,1e-05,1790078712.3818614
1,700,5705,76.6,0.9765625,0.0724,1e-05,1790078877.550367
1,750,5755,76.5,0.9765625,0.0769,1e-05,1790079048.4439652
1,800,5805,76.6,0.88671875,0.5382,1e-05,1790079213.7759364
1,850,5855,76.5,0.96484375,0.1707,1e-05,1790079385.4242423
1,900,5905,76.4,0.984375,0.0516,1e-05,1790079555.0521035
1,950,5955,76.3,0.97265625,0.0882,1e-05,1790079725.843832
1,1000,6005,76.2,0.9453125,0.2769,1e-05,1790079897.9572318
1,1050,6055,76.2,0.9140625,0.2897,1e-05,1790080069.0153656
