epoch,step,gstep,img_per_s,acc_leaf,loss_leaf,loss_k30,loss_k6,loss_k2,lr_enc,t
0,0,1,39.5,0.0,8.5478,5.1486,2.3166,0.7323,2e-08,1789930077.1789136
0,50,51,60.1,0.0703125,5.5009,2.6643,0.6006,0.3879,1.02e-06,1789930287.7632592
0,100,101,64.2,0.76953125,1.3943,0.2717,0.0404,0.0346,2.02e-06,1789930473.7174168
0,150,151,70.3,0.82421875,0.8848,0.3056,0.2652,0.0097,3.0200000000000003e-06,1789930620.6368656
0,200,201,73.7,0.86328125,0.8985,0.2532,0.036,0.0471,4.0200000000000005e-06,1789930768.6937025
0,250,251,76.6,0.87890625,0.6838,0.1827,0.0293,0.0107,5.02e-06,1789930909.3599787
0,300,301,77.7,0.92578125,0.4681,0.021,0.0081,0.0049,6.02e-06,1789931062.6864386
0,350,351,78.5,0.953125,0.2402,0.1023,0.0302,0.0333,7.0200000000000006e-06,1789931215.1029398
0,400,401,79.8,0.8828125,0.8162,0.3201,0.1113,0.0342,8.020000000000001e-06,1789931357.1456752
0,450,451,80.8,0.8671875,0.5764,0.1354,0.0068,0.0055,9.020000000000002e-06,1789931500.3755338
0,500,501,81.1,0.91796875,0.3538,0.1248,0.1226,0.0368,1e-05,1789931652.293532
0,550,551,81.4,0.90625,0.4249,0.0315,0.0297,0.0183,1e-05,1789931803.4398367
0,600,601,81.6,0.890625,0.8099,0.0567,0.0466,0.0435,1e-05,1789931955.0969718
0,650,651,81.9,0.89453125,0.5405,0.0526,0.04,0.0358,1e-05,1789932104.4298005
0,700,701,82.2,0.9296875,0.3129,0.0186,0.011,0.0022,1e-05,1789932254.1722746
0,750,751,82.3,0.94140625,0.1888,0.0624,0.0155,0.0012,1e-05,1789932405.3419077
0,800,801,82.6,0.90625,0.5657,0.2052,0.0042,0.0061,1e-05,1789932553.6907382
0,850,851,82.3,0.90625,0.5125,0.1762,0.0571,0.0019,1e-05,1789932717.9820597
0,900,901,82.3,0.90234375,0.4297,0.0591,0.0423,0.0184,1e-05,1789932873.3811338
0,950,951,82.3,0.9609375,0.1669,0.0648,0.0283,0.026,1e-05,1789933028.3116083
0,1000,1001,82.4,0.90625,0.8937,0.0982,0.0461,0.0362,1e-05,1789933181.5030506
0,1050,1051,82.6,0.94921875,0.4687,0.0909,0.0312,0.0036,1e-05,1789933328.6758332
0,1100,1101,82.8,0.89453125,0.4029,0.0386,0.0101,0.0042,1e-05,1789933476.7675803
0,1150,1151,82.7,0.94921875,0.1786,0.0206,0.0021,0.001,1e-05,1789933635.5246665
0,1200,1201,82.8,0.84375,1.0994,0.0474,0.0035,0.0024,1e-05,1789933785.7862198
0,1250,1251,82.8,0.88671875,0.547,0.0739,0.0314,0.0301,1e-05,1789933940.0997355
0,1300,1301,82.9,0.92578125,0.3631,0.1059,0.0585,0.0177,1e-05,1789934088.0625472
0,1350,1351,82.9,0.984375,0.0784,0.0269,0.009,0.0012,1e-05,1789934240.3964524
0,1400,1401,82.9,0.94140625,0.3755,0.1787,0.0049,0.0028,1e-05,1789934398.2290103
0,1450,1451,82.7,0.9296875,0.4974,0.1967,0.1758,0.0014,1e-05,1789934563.4286246
0,1500,1501,82.7,0.8984375,0.5113,0.0663,0.0356,0.0011,1e-05,1789934714.2709363
0,1550,1551,82.9,0.953125,0.2019,0.0589,0.0114,0.0064,1e-05,1789934861.0827405
0,1600,1601,83.0,0.890625,0.8918,0.0684,0.0238,0.0071,1e-05,1789935008.4405704
0,1650,1651,83.1,0.8984375,0.6534,0.5419,0.2213,0.007,1e-05,1789935159.8044822
0,1700,1701,82.7,0.88671875,0.7301,0.1132,0.0135,0.0102,1e-05,1789935338.818071
0,1750,1751,82.5,0.91015625,0.3183,0.1073,0.0461,0.0396,1e-05,1789935505.0816832
0,1800,1801,82.5,0.85546875,1.051,0.0405,0.0075,0.0044,1e-05,1789935658.4404655
0,1850,1851,82.5,0.859375,1.0772,0.0585,0.0159,0.0015,1e-05,1789935815.9221647
0,1900,1901,82.2,0.90234375,0.6126,0.1823,0.0722,0.0012,1e-05,1789935988.7652845
0,1950,1951,82.3,0.88671875,0.4503,0.0262,0.0261,0.0201,1e-05,1789936142.401137
0,2000,2001,82.3,0.9140625,0.5786,0.1074,0.0162,0.0067,1e-05,1789936293.1767406
0,2050,2051,82.4,0.9375,0.5445,0.0795,0.0175,0.0061,1e-05,1789936442.7954292
0,2100,2101,82.5,0.94140625,0.2968,0.0649,0.0013,0.0011,1e-05,1789936588.9197109
0,2150,2151,82.4,0.93359375,0.2669,0.0617,0.0285,0.0311,1e-05,1789936751.1766598
0,2200,2201,82.5,0.93359375,0.457,0.0808,0.0513,0.0395,1e-05,1789936902.6413424
0,2250,2251,82.6,0.93359375,0.429,0.1393,0.0323,0.0294,1e-05,1789937048.6412194
0,2300,2301,82.4,0.890625,0.5462,0.0735,0.0302,0.0085,1e-05,1789937222.8106706
