model,dataset,null,stat,n,d,delta,delta_sd,null_mean,null_sd,excess,z,r_above,p_left,time_s,genuine,p_bh,genuine_bh,record_excess,record_genuine_bh,verdict_changed
dinov2_s,cifar10,haar_centered,p999,10,384,0.08393180116410727,0.0,0.11655067332752188,0.01491088163131662,-0.032618872163414595,-2.187588431720008,200,0.0049751243781094535,160.09225535392758,True,0.01085481682496608,True,-0.07103255874128772,True,False
dinov2_b,cifar10,haar_centered,p999,10,768,0.045766195304774486,0.0,0.11033563847152232,0.013173399725589063,-0.06456944316674784,-4.9015018531110846,200,0.0049751243781094535,156.38374876976013,True,0.01085481682496608,True,-0.1121825794650855,True,False
dinov2_l,cifar10,haar_centered,p999,10,1024,0.02745945866246001,0.0,0.11122654221804792,0.01394329129282777,-0.08376708355558793,-6.00769802454579,200,0.0049751243781094535,158.32785677909848,True,0.01085481682496608,True,-0.12756438781439913,True,False
dinov2_g,cifar10,haar_centered,p999,10,1536,0.02540740300216212,0.0,0.1026307548513504,0.0117913679808071,-0.07722335184918827,-6.5491427266866165,200,0.0049751243781094535,161.43090677261353,True,0.01085481682496608,True,-0.1302698723302258,True,False
clip_b,cifar10,haar_centered,p999,10,512,0.10510009138196408,0.0,0.1267907629731046,0.016622245436359,-0.02169067159114052,-1.304918259941885,184,0.0845771144278607,156.02958726882937,False,0.11710677382319173,False,-0.03629097211335211,True,True
clip_l,cifar10,haar_centered,p999,10,768,0.09893099602982093,0.0,0.11924524122432766,0.01574801985655939,-0.020314245194506683,-1.2899555232682387,180,0.1044776119402985,158.94477677345276,False,0.1367706919945726,False,-0.043242041628795136,True,True
siglip_b,cifar10,haar_centered,p999,10,768,0.08738363341151585,1.3877787807814454e-17,0.11419942395226786,0.015409506861486597,-0.026815790540752005,-1.7402108180225706,197,0.01990049751243781,156.59781050682068,True,0.034947215143793224,True,-0.05018437807244607,True,False
i21k_t,dtd,haar_centered,p999,47,192,0.1105465467483246,0.0002472334637240465,0.12429625958378294,0.006896399654083597,-0.01374971283545835,-1.9924723751654885,195,0.02985074626865672,172.42131996154785,True,0.048846675712347354,True,-0.014207274847269332,True,False
i21k_s,dtd,haar_centered,p999,47,384,0.09584507552385388,0.0003461725965027012,0.11366791423275445,0.00547260391567091,-0.017822838708900557,-3.250242239334104,199,0.009950248756218905,182.2581171989441,True,0.01936264622831787,True,-0.01859695631436166,True,False
i21k_b,dtd,haar_centered,p999,47,768,0.08885700661181575,0.0004494266024590538,0.10864929421708228,0.0047515853142902536,-0.019792287605266537,-4.146898912989556,200,0.0049751243781094535,185.54163789749146,True,0.01085481682496608,True,-0.02077319833729968,True,False
