model,d,rho_mean,rho_sd,pct_monotone,rho_shuffle,trip_L1_cos,trip_L1_euc,trip_L2_cos,trip_L2_euc,ent_L1,ent_L2,ent_L3,delta_leaves,delta_sd,null_mean,excess,time_s
bge_base,768,0.8032,0.3063164376914827,0.496,-0.0066,0.8849,0.87495,0.9697,0.9663,0.9586,0.9943,0.9997,0.130453489278584,0.0075667535863016,0.1272298457572308,0.0032236435213531,17.464946508407593
e5_base,768,0.8724000000000001,0.1864356189144123,0.539,0.0033999999999999,0.89995,0.8914,0.97095,0.97045,0.9673,0.9954,0.9995,0.1385718090193486,0.0064011862316947,0.1287634344646543,0.0098083745546942,16.140974044799805
gte_base,768,0.468,0.5507231609438631,0.24,0.0053999999999999,0.9014,0.90255,0.9732,0.97375,0.9656,0.9956,0.9999,0.1354372963623608,0.0049004968328516,0.128974171029697,0.0064631253326638,15.530827760696411
clip_b,512,0.6352000000000001,0.4256300741254076,0.272,-0.0148,0.85695,0.88225,0.9474,0.9577,0.9343,0.991,0.9984,0.1233047709551319,0.0051306699848932,0.1338126215495775,-0.0105078505944455,10.12791895866394
clip_l,768,0.5137999999999999,0.4942565730468336,0.187,-0.0171999999999999,0.8629,0.8789,0.95835,0.96245,0.932,0.9908,0.9994,0.1169946055911808,0.0045712654422814,0.1272622010832875,-0.0102675954921066,16.960420608520508
siglip_b,768,0.31739999999999996,0.549633732589258,0.098,-0.049,0.83135,0.8288,0.9127,0.9044,0.9337,0.9893,0.9979,0.13782279430022704,0.009415009242410368,0.12417598258625528,0.013646811713971752,89.06721115112305
