model,delta,null,excess,trip_eucl,trip_cos,NC_R,NC_H,NC_COS,FS_R,FS_H,FS_COS,FS_HR_pp,FS_HR_ci,FS_HC_pp,FS_HC_ci
bge_base,0.12234413630167548,0.15056061805977453,-0.028216481758099043,0.8748499455761157,0.8855854454983673,0.9030441400304414,0.8971080669710807,0.9025875190258752,0.9882533333333333,0.9887999999999999,0.9879733333333334,0.05466666666666671,0.04551395918518967,0.08266666666666662,0.0418260713930651
e5_base,0.1265939108598621,0.15081967067384489,-0.024225759813982783,0.8788493235888665,0.886250971855077,0.9161339421613395,0.9118721461187215,0.9159817351598174,0.9909600000000001,0.99132,0.9912,0.035999999999999956,0.034499068550389055,0.011999999999999999,0.02752312741919663
gte_base,0.13201866494302156,0.15210701265175186,-0.020088347708730303,0.8896065930648421,0.8937210387187062,0.8996955859969559,0.8914764079147641,0.8983257229832572,0.9866933333333334,0.98748,0.98676,0.07866666666666665,0.05540753563510612,0.07200000000000001,0.05233744008345161
