model,frame,partition,s,seed,kind,n,d,hub_rms,ratio,excessB_real,excessB_star,excessB_star_sd,depth,z,time_s
i21k_t,wn30bal,real,real,0,depth,1000,192,26.906579971313477,1.3996120691299438,-0.02264932806941479,0.002490442167441255,0.003549131510379467,-0.025139770236856044,-2.0849513575211276,66.2197835445404
i21k_t,wn30bal,rand6,0.0,0,depth,1000,192,26.906578063964844,1.1425033807754517,-0.004004403832597175,0.002521657856194827,0.0035277495196237977,-0.006526061688792002,-0.4335295648212138,69.04100203514099
i21k_t,wn30bal,rand6,0.0,1,depth,1000,192,26.906579971313477,1.1374561786651611,0.00641802235240474,0.0025216573924554397,0.0035277504976551763,0.0038963649599493,0.2386206572804585,69.41542172431946
i21k_t,wn30bal,rand6,0.0,2,depth,1000,192,26.906578063964844,1.1584843397140503,-0.004443825128964324,0.0025216590979619327,0.0035277499146822563,-0.0069654842269262565,-0.5765819047219124,66.72164821624756
i21k_t,wn30bal,rand6,0.0,3,depth,1000,192,26.90658187866211,1.1418242454528809,-0.0011581166798760034,0.002521658715733896,0.003527753230776111,-0.0036797753956098996,-0.28197251763191084,66.4905436038971
i21k_t,wn30bal,rand6,0.0,4,depth,1000,192,26.906579971313477,1.147944688796997,-0.0010400694165987046,0.002521658638481701,0.003527750419547553,-0.0035617280550804056,-0.351244292723365,69.3181779384613
i21k_t,wn30bal,rand6,0.25,0,depth,1000,192,26.906578063964844,1.1606080532073975,0.0038917581413326907,0.0025216602653140977,0.003527750750136565,0.001370097876018593,0.09190077799997626,67.8116385936737
i21k_t,wn30bal,rand6,0.25,1,depth,1000,192,26.906579971313477,1.1340969800949097,-0.00561885670299575,0.002521657482072255,0.003527750621601444,-0.008140514185068006,-0.7251409031405919,66.68271708488464
i21k_t,wn30bal,rand6,0.25,2,depth,1000,192,26.906578063964844,1.143889307975769,-0.017170423369472526,0.0025216565820858987,0.003527748246783976,-0.019692079951558424,-1.4239466246742902,66.49673175811768
i21k_t,wn30bal,rand6,0.25,3,depth,1000,192,26.90657615661621,1.1303062438964844,-0.0033589093532470915,0.0025216556223806794,0.0035277497170243415,-0.005880564975627771,-0.5300311374660879,67.09807419776917
i21k_t,wn30bal,rand6,0.25,4,depth,1000,192,26.906579971313477,1.1548177003860474,-0.004411327504168061,0.002521657028606136,0.003527751185615162,-0.006932984532774198,-0.5962710012812161,71.97893071174622
i21k_t,wn30bal,rand6,0.5,0,depth,1000,192,26.90657615661621,1.1475937366485596,-0.011593632171106594,0.0025216589055465618,0.0035277495544822498,-0.014115291076653155,-1.0694422874677436,69.97711181640625
i21k_t,wn30bal,rand6,0.5,1,depth,1000,192,26.906578063964844,1.154526948928833,-0.014093428916980844,0.0025216611067069112,0.0035277481751067037,-0.016615090023687756,-1.0961601563285555,66.5090765953064
i21k_t,wn30bal,rand6,0.5,2,depth,1000,192,26.906578063964844,1.1351653337478638,-0.01812884088036429,0.002521660508479175,0.0035277480071555876,-0.020650501388843463,-1.5958476217678303,68.27846455574036
i21k_t,wn30bal,rand6,0.5,3,depth,1000,192,26.906579971313477,1.1317886114120483,-0.006503748248222002,0.0025216575923646236,0.0035277475247373876,-0.009025405840586625,-0.7498479761166248,67.86807489395142
i21k_t,wn30bal,rand6,0.5,4,depth,1000,192,26.90658187866211,1.1570326089859009,-0.010296650865500218,0.0025216590145514376,0.0035277513660132258,-0.012818309880051655,-1.1419556343830186,66.46998476982117
i21k_t,wn30bal,rand6,0.75,0,depth,1000,192,26.90658187866211,1.1383434534072876,-0.0011775368016423426,0.0025216593121788313,0.0035277512124553315,-0.003699196113821174,-0.31182491433880993,67.94052147865295
i21k_t,wn30bal,rand6,0.75,1,depth,1000,192,26.906583786010742,1.1529805660247803,-0.0060604126971179895,0.0025216576832042285,0.003527751932166531,-0.008582070380322219,-0.7350133048147427,68.50217485427856
i21k_t,wn30bal,rand6,0.75,2,depth,1000,192,26.906578063964844,1.1372790336608887,-0.008187529073461153,0.002521659032314981,0.0035277493762983867,-0.010709188105776134,-0.8272309127986137,70.20059585571289
i21k_t,wn30bal,rand6,0.75,3,depth,1000,192,26.906579971313477,1.1632251739501953,0.00017872025433773864,0.0025216582850978095,0.0035277508716705583,-0.002342938030760071,-0.21497124586657768,68.32123899459839
i21k_t,wn30bal,rand6,0.75,4,depth,1000,192,26.906578063964844,1.1410502195358276,-0.0045731098172545614,0.002521657000867113,0.0035277503882476116,-0.007094766818121674,-0.4929631642478339,63.82238578796387
i21k_t,wn30bal,rand6,1.0,0,depth,1000,192,26.90658187866211,1.1449267864227295,-0.02135289219703329,0.0025216574221457373,0.0035277502438782336,-0.02387454961917903,-2.5319636277851205,63.819798707962036
i21k_t,wn30bal,rand6,1.0,1,depth,1000,192,26.906578063964844,1.1456242799758911,-0.009962923331544915,0.0025216587023013173,0.0035277511183554925,-0.012484582033846232,-1.2526587111628231,64.8172128200531
i21k_t,wn30bal,rand6,1.0,2,depth,1000,192,26.906579971313477,1.1320579051971436,-0.006592550572285222,0.002521657786628326,0.003527751198228922,-0.009114208358913547,-0.8737363726186411,64.8235912322998
i21k_t,wn30bal,rand6,1.0,3,depth,1000,192,26.90658187866211,1.1503006219863892,-0.005196230969321536,0.0025216598445041718,0.003527750621365451,-0.007717890813825708,-0.707062039404897,66.35030722618103
i21k_t,wn30bal,rand6,1.0,4,depth,1000,192,26.906579971313477,1.132924199104309,-0.008679567515731512,0.0025216599991326402,0.0035277497599604133,-0.011201227514864152,-0.9899658002418648,65.24082398414612
