model,dataset,delta,delta_sd,null_mean,null_sd,excess,z,frac_null_above,r_above,p_left,store_centroids,time_s
dinov2_b,imagenet,0.09264803677029444,0.010022778245263935,0.08562845618018965,0.002064330627314227,0.007019580590104796,0.6859641814782863,0.0,0,1.0,0,488.3020143508911
dinov2_l,imagenet,0.07059325784273303,0.007479214010511662,0.07853980388065301,0.0017177935438881567,-0.007946546037919985,-1.0355227135974858,1.0,200,0.004975124378109453,0,670.611955165863
dinov2_g,imagenet,0.08081277950780391,0.00775670136192715,0.07604440178212173,0.0017147318997738693,0.004768377725682185,0.6002509296755371,0.005,1,0.9950248756218906,0,968.8556780815125
clip_b,imagenet,0.11952016031417192,0.00527248911176936,0.1441967876290064,0.007330441751462454,-0.02467662731483447,-2.7328453050634685,1.0,200,0.004975124378109453,0,355.4758229255676
clip_l,imagenet,0.11773132952248236,0.005182869614368171,0.13527665981589596,0.006786672245181862,-0.017545330293413597,-2.054636830889293,1.0,200,0.004975124378109453,0,442.0534405708313
siglip_b,imagenet,0.11368781032794306,0.009047941610363618,0.12988210061929148,0.006284710857542466,-0.016194290291348418,-1.470005833734085,0.995,199,0.009950248756218905,0,402.3038532733917
