model_a,model_b,knn_R_raw,knn_R_null_mean,knn_R_null_sd,knn_R_tau95,knn_R_p,knn_R_cal,knn_R_nullcentered,knn_H_raw,knn_H_null_mean,knn_H_null_sd,knn_H_tau95,knn_H_p,knn_H_cal,knn_H_nullcentered,cka_R_raw,cka_R_null_mean,cka_R_null_sd,cka_R_tau95,cka_R_p,cka_R_cal,cka_R_nullcentered,cka_H_raw,cka_H_null_mean,cka_H_null_sd,cka_H_tau95,cka_H_p,cka_H_cal,cka_H_nullcentered,time_s
i21k_t,i21k_s,0.7003999999999999,0.009995,0.0011568780550130831,0.012,0.004975124378109453,0.6967611336032388,0.6904049999999999,0.6426000000000001,0.0098995,0.001253798149222982,0.011899999999999999,0.004975124378109453,0.6382957190567757,0.6327005000000001,0.8537686237018014,0.04141926796087406,0.00137452718780833,0.0437897760398451,0.004975124378109453,0.8470719381219542,0.8123493557409274,0.8591016620094695,0.041265134616423,0.0013704040012584105,0.043772672094221865,0.004975124378109453,0.8526518392868877,0.8178365273930465,6.086820840835571
i21k_t,i21k_b,0.6414,0.0099505,0.0011693745912552433,0.0121,0.004975124378109453,0.637007794311165,0.6314495,0.5871999999999999,0.009911000000000001,0.0011601329849261109,0.0121,0.004975124378109453,0.5821439416945035,0.5772889999999999,0.8115406646216579,0.04490057452653433,0.0013748867597285484,0.047238212266477564,0.004975124378109453,0.8021967948287907,0.7666400900951236,0.81578558144502,0.044775208814107736,0.0013798938197136417,0.04718997596826534,0.004975124378109453,0.8066619641809682,0.7710103726309123,11.081440210342407
i21k_t,i21k_l,0.6091,0.0099195,0.0011780103104206204,0.012,0.004975124378109453,0.6043522267206477,0.5991805,0.546,0.009879500000000001,0.0012185046235398287,0.012,0.004975124378109453,0.5404858299595142,0.5361205,0.8367880528517743,0.043667611039924524,0.0013973810495286102,0.04617668715609508,0.004975124378109453,0.8288866030527231,0.7931204418118497,0.8407186561151582,0.04361338843524019,0.001409465723306163,0.04614794589379895,0.004975124378109453,0.8330125272581239,0.797105267679918,14.71505880355835
i21k_t,dinov1_b,0.6601,0.009854,0.0011468041676742262,0.0117,0.004975124378109453,0.6560760902559951,0.650246,0.5567,0.0098945,0.001383942278838167,0.0123,0.004975124378109453,0.5511795079477574,0.5468054999999999,0.7652855365794379,0.05209353654842903,0.0014060853879615696,0.05449290454725388,0.004975124378109453,0.7517581152490753,0.7131920000310088,0.7745131606078449,0.05171789424727967,0.0014046781081215624,0.054196279592632145,0.004975124378109453,0.7615923531205444,0.7227952663605652,12.36079216003418
i21k_t,dinov2_s,0.5297,0.0099695,0.0012181292807923213,0.0121,0.004975124378109453,0.5239396700070856,0.5197305,0.3982,0.0100155,0.0019351833045245488,0.0137,0.004975124378109453,0.38984081922336006,0.3881845,0.45021455444025543,0.0674931492628165,0.0013051346560507438,0.06953473542075415,0.004975124378109453,0.40912845810707804,0.3827214051774389,0.4619097176699544,0.06773806343854476,0.00129330200494705,0.06978095521202873,0.004975124378109453,0.42154454335785535,0.39417165423140965,6.904347658157349
i21k_t,dinov2_b,0.2663,0.0100245,0.0016575848963000994,0.0129,0.004975124378109453,0.2567115793739236,0.2562755,0.1938,0.010058000000000001,0.0025479987220242447,0.0149,0.004975124378109453,0.18160592833214903,0.183742,0.3876163874668511,0.09388752990420687,0.00119673402900303,0.09589029776157454,0.004975124378109453,0.3226666951842362,0.2937288575626442,0.4005527598942677,0.09396668641229099,0.0011749345415797247,0.09581592503084312,0.004975124378109453,0.337029641750569,0.3065860734819767,11.04436469078064
i21k_t,dinov2_l,0.184,0.010126,0.0017402778037344654,0.0134,0.004975124378109453,0.1729170889924995,0.173874,0.1444,0.0101095,0.0026547690565694396,0.0149,0.004975124378109453,0.1314587351537915,0.1342905,0.39502778121130366,0.10548054196252045,0.0010764456081005114,0.10723203253700489,0.004975124378109453,0.3223634350279574,0.28954723924878323,0.4106956046123207,0.10578999447531506,0.0010658043551435166,0.10751389298520077,0.004975124378109453,0.3397046847498911,0.3049056101370056,14.9017333984375
i21k_t,dinov2_g,0.185,0.010088,0.001784454366728013,0.0129,0.004975124378109453,0.17434910343430252,0.174912,0.15189999999999998,0.010043999999999999,0.002555861132896947,0.015,0.004975124378109453,0.13898477157360403,0.14185599999999998,0.38006771308403664,0.10996468796175732,0.0010986572030250554,0.11183908922139243,0.004975124378109453,0.3020045361234162,0.27010302512227935,0.39480922641441235,0.11058272885357791,0.0010666569405446624,0.1123287784728834,0.004975124378109453,0.3182264346201965,0.28422649756083446,21.279751539230347
i21k_t,clip_b,0.7011000000000001,0.0098985,0.0011988049954373009,0.011899999999999999,0.004975124378109453,0.697500253010829,0.6912015,0.6732,0.0099295,0.001134156649908937,0.0117,0.004975124378109453,0.6693311747445108,0.6632705,0.8547306125527588,0.02426886087932252,0.0014205348144583207,0.027168011497006855,0.004975124378109453,0.8506737143062251,0.8304617516734363,0.859722411282196,0.0240848718255575,0.0014211583776844703,0.026963008660790027,0.004975124378109453,0.8558352971506897,0.8356375394566384,9.968744993209839
i21k_t,clip_l,0.6553,0.009925999999999999,0.0011553345792235897,0.0117,0.004975124378109453,0.6512192654052413,0.645374,0.6204,0.009962500000000001,0.0011356461645491858,0.0118,0.004975124378109453,0.6158672333535721,0.6104375,0.84064920819127,0.030048329312357663,0.001409777759495761,0.03262411260960035,0.004975124378109453,0.8352752080283954,0.8106008788789123,0.845234598777831,0.03000406241967658,0.0014127842637649088,0.03263214210344892,0.004975124378109453,0.8400139099528369,0.8152305363581545,10.910687923431396
