model,dataset,b,n,delta_999,delta_sd,null_mean,null_sd,excess,r_above,p_left,n_rep,time_s
clip_b,cifar10,-1,10,0.10510009138196408,0.0,0.12884328256785818,0.01385812923353387,-0.023743191185894102,48,0.05882352941176471,50,43.29021859169006
clip_b,cifar10,0,10,0.10516029416914192,0.0,0.12918039169947218,0.013933588868976748,-0.024020097530330256,49,0.0392156862745098,50,47.84894728660584
clip_b,cifar10,1,10,0.10568098678711507,1.3877787807814454e-17,0.1291555925534656,0.013955477216063052,-0.023474605766350503,49,0.0392156862745098,50,48.60403800010681
clip_b,cifar10,2,10,0.10532035945176492,1.3877787807814454e-17,0.1286403795022565,0.013891775823267258,-0.023320020050491597,48,0.05882352941176471,50,47.81221199035645
clip_b,cifar10,3,10,0.10428858090207692,0.0,0.12834025735834512,0.013839437492607909,-0.024051676456268184,49,0.0392156862745098,50,45.20782279968262
clip_b,cifar10,4,10,0.10597461769702146,1.3877787807814454e-17,0.1287336692540397,0.013869692631177792,-0.02275905155701824,48,0.05882352941176471,50,53.75409126281738
clip_b,cifar10,5,10,0.10535789063751624,0.0,0.1294347779490704,0.013860804338480649,-0.024076887311554163,49,0.0392156862745098,50,57.72678899765015
clip_b,cifar10,6,10,0.10531281181966072,1.3877787807814454e-17,0.12828279682234514,0.013781464496697834,-0.02296998500268442,48,0.05882352941176471,50,46.687357902526855
clip_b,cifar10,7,10,0.10421989285880323,1.3877787807814454e-17,0.1289561242344856,0.01383044506939402,-0.024736231375682385,49,0.0392156862745098,50,52.42807936668396
clip_b,cifar10,8,10,0.10622366656669938,0.0,0.12901544028552472,0.013851310696289849,-0.022791773718825348,48,0.05882352941176471,50,67.99252843856812
clip_b,cifar10,9,10,0.1068285930769011,1.3877787807814454e-17,0.1287512689035537,0.013931389961492254,-0.02192267582665261,48,0.05882352941176471,50,53.21365427970886
clip_b,cifar10,10,10,0.10371827663293967,1.3877787807814454e-17,0.12880256241759352,0.013839292813789546,-0.02508428578465384,49,0.0392156862745098,50,39.30438256263733
clip_b,cifar10,11,10,0.10520630408178958,1.3877787807814454e-17,0.12939731209533226,0.01399580570845515,-0.024191008013542653,49,0.0392156862745098,50,64.82821035385132
clip_b,cifar10,12,10,0.10580287348844272,0.0,0.12938376237426527,0.013953716928690964,-0.02358088888582255,49,0.0392156862745098,50,72.7674927711487
clip_b,cifar10,13,10,0.10710619040978693,0.0,0.1289037173786334,0.013859615288507942,-0.021797526968846476,48,0.05882352941176471,50,63.88782095909119
clip_b,cifar10,14,10,0.1044830384392362,1.3877787807814454e-17,0.12867300012208452,0.013780014842601702,-0.024189961682848315,49,0.0392156862745098,50,78.96465229988098
clip_b,cifar10,15,10,0.1055030929564097,0.0,0.12872190204682787,0.01382739204339824,-0.02321880909041818,48,0.05882352941176471,50,113.81793189048769
clip_b,cifar10,16,10,0.10479647448536733,0.0,0.12876553177649472,0.013805476594916074,-0.023969057291127388,49,0.0392156862745098,50,63.59964084625244
clip_b,cifar10,17,10,0.10637930721864604,1.3877787807814454e-17,0.12858110242987994,0.013946749788156809,-0.02220179521123393,48,0.05882352941176471,50,66.056174993515
clip_b,cifar10,18,10,0.10395740503333467,1.3877787807814454e-17,0.12901625582526066,0.013903512296084952,-0.02505885079192595,49,0.0392156862745098,50,64.57362055778503
clip_b,cifar10,19,10,0.10248801373995882,0.0,0.1287656211281412,0.013878220314551493,-0.02627760738818237,49,0.0392156862745098,50,58.89438438415527
clip_b,cifar10,20,10,0.10545076360869132,0.0,0.12880879573745635,0.013897032155968663,-0.023358032128765027,48,0.05882352941176471,50,71.84532880783081
clip_b,cifar10,21,10,0.10404990957194496,0.0,0.12868045962367736,0.013855700779032549,-0.0246305500517324,49,0.0392156862745098,50,62.84977579116821
clip_b,cifar10,22,10,0.10784883301594377,1.3877787807814454e-17,0.1291587876108533,0.013869822020920977,-0.021309954594909558,47,0.0784313725490196,50,64.96256351470947
