model,kind,d,delta,excessA,zA,rankA,excessB,zB,time_s
barlow_r50,ConvNet SSL,2048,0.07460077207227928,-0.03877863107047255,-4.799289438773182,1.0,-0.03877863107047255,-4.799289438773182,74.57472252845764
byol_r50,ConvNet SSL,2048,0.07319541263748074,-0.020344202929256372,-2.433695731810914,1.0,-0.020344202929256372,-2.433695731810914,80.5700671672821
