model,kind,null,stat,d,delta,delta_sd,null_mean,null_sd,excess,z,frac_null_above,r_above,p_left,time_s
gpt2,causal,gauss,p999,768,0.07726838992912052,0.0003366436450702305,0.0905445431539513,0.005509234467883221,-0.013276153224830778,-2.40531362945362,0.995,199,0.009950248756218905,189.34171438217163
gpt2_m,causal,gauss,p999,1024,0.0518141399008048,0.0001708956963877682,0.05693026602340694,0.004487817983296922,-0.005116126122602142,-1.139177385624066,0.855,171,0.14925373134328357,265.0277440547943
gpt2_l,causal,gauss,p999,1280,0.0527819312943156,0.00013325561868488288,0.07755131058935168,0.003951408584318629,-0.02476937929503608,-6.26493209105258,1.0,200,0.004975124378109453,326.8289198875427
gpt2_xl,causal,gauss,p999,1600,0.04795416565775894,0.0002539845443263546,0.07632200624065419,0.0038171323206534656,-0.02836784058289525,-7.415318440816648,1.0,200,0.004975124378109453,452.4176607131958
pythia_410m,causal,gauss,p999,1024,0.0674117647438742,0.00019588763175425926,0.0867982093559959,0.004411301366663963,-0.019386444612121703,-4.390395792169298,1.0,200,0.004975124378109453,292.24945878982544
pythia_1b,causal,gauss,p999,2048,0.06606350117737178,0.00019008801918193101,0.08209668933289686,0.004289148056458529,-0.016033188155525083,-3.7344166185111844,1.0,200,0.004975124378109453,451.75775384902954
pythia_2b8,causal,gauss,p999,2560,0.06644288873366123,0.00030621786577728744,0.08455968499970247,0.004085719982311289,-0.018116796266041235,-4.421773008240303,1.0,200,0.004975124378109453,439.93959283828735
olmo_1b,causal,gauss,p999,2048,0.05088700973466024,0.00012764341645016682,0.07673353696209856,0.0038850468693696276,-0.02584652722743832,-6.649234695364672,1.0,200,0.004975124378109453,408.8579194545746
