model,cloud,star,seed,excessB_real,excessB_star,excessB_star_sd,depth,z,r_star,p_star,star_excesses,time_s
i21k_s,real,aniso,0,-0.024706671969300598,0.003392909098758444,0.005035874386449524,-0.028099581068059043,-2.361505082329531,0,0.09090909090909091,"[0.0053243297300819975, 0.010503455853466862, 0.0061723337018694535, 0.0015356262879224342, 7.168977767274543e-05, -0.00024311231331196337, -0.0018180486859114414, 0.01194579004780906, -0.002786876502225269, 0.0032239030902105614]",93.63127779960632
i21k_s,real,aniso_haarhubs,0,-0.024706671969300598,0.0010298325627568772,0.006563160648182107,-0.025736504532057475,-2.039104729875234,0,0.09090909090909091,"[-0.0019929138621209846, -0.005171124947776842, 0.006134078277090088, -0.007195576289721853, -0.004507325522836836, -0.004665971702375232, 0.0031376401754875244, 0.009507564686682374, 0.01088449327618081, 0.004167461536959724]",95.78861451148987
i21k_s,implant_s0,aniso_haarhubs,0,-0.00885936462359807,-0.0008656190632915367,0.004754139455476793,-0.007993745560306534,-0.813222903153727,0,0.09090909090909091,"[0.007250617804027679, -1.610041344242419e-05, -0.003130167142954221, -0.0032412328449955286, -0.0029480746328477553, 0.0027063258277027907, -0.006539026605162257, 0.00621732282398256, -0.003977279223246991, -0.00497857622597922]",84.45129704475403
i21k_s,implant_s0,aniso_haarhubs,1,-0.0019918525414609756,0.0014737437938952783,0.003001533471206987,-0.0034655963353562537,-0.3737876453518375,0,0.09090909090909091,"[0.003605070300529728, 0.007541191043676523, 0.0009988204543031065, -0.0008467696761690763, -0.0014910053312657684, -0.0016391273242077897, 0.0002452069286711517, 0.0037698482855708926, 0.0033720462508536747, -0.0008178429930096598]",75.54195046424866
i21k_s,implant_s0,aniso_haarhubs,2,-0.008682888452709023,0.0010207675376927808,0.0034833001742618267,-0.009703655990401804,-1.038445115173046,0,0.09090909090909091,"[-0.0011539217244938421, 0.001071948142473314, 0.0026879779739467508, 0.0032032271795712636, -0.0033769657041048673, 0.005363941369967928, -0.0046165925600202, 0.005784289052337521, -0.0007805070294617522, 0.002024278676711691]",74.38449358940125
i21k_s,implant_s0,aniso_haarhubs,3,-0.005848467240492053,0.001131580091120396,0.00376833786702713,-0.006980047331612449,-0.7993382603741149,0,0.09090909090909091,"[0.0019995897474093804, 1.662486757805781e-05, 0.0005202531287949314, 0.0017121615558229747, -0.0015112807559041347, -4.848508631027926e-05, -0.004584132488711576, 0.0097366147580797, -0.00041557222766033797, 0.003890027412105243]",77.73013019561768
i21k_s,implant_s0,aniso_haarhubs,4,-0.002443843299491183,0.0029570933397842975,0.0037480426848502187,-0.00540093663927548,-0.5683709739090846,1,0.18181818181818182,"[0.0020704248561543154, 0.004785543667998979, -0.0019307931886042712, 0.0064576883946139835, 0.0011136612570584875, -0.00033753282883197677, -0.002570112926510215, 0.006385660961946038, 0.0065868123244208765, 0.007009580879596758]",74.36608242988586
i21k_s,implant_s1,aniso_haarhubs,0,-0.015057808731045591,-0.0026602706064925903,0.00819017377230567,-0.012397538124553001,-0.9028132264813832,1,0.18181818181818182,"[-0.00478698100913616, 0.006076151200317598, 0.00031375277021114534, -0.006975902626721181, -0.00698146323693552, -0.0009082926955283621, 0.003862751361526806, -0.02169995881564052, -0.0009448905830634069, 0.005442127570043698]",70.13273692131042
i21k_s,implant_s1,aniso_haarhubs,1,-0.008419935562397313,-0.0014840473863677122,0.008206841575563445,-0.0069358881760296,-0.49665448647552046,1,0.18181818181818182,"[-0.004103448423737416, -0.002707296306108997, -0.007807510205225715, -0.0029808748824687314, -0.0025824160184911293, 0.000796887021290521, 0.006036532688836582, -0.01840875976875389, 0.01051673325567029, 0.006399678775311363]",70.50383687019348
i21k_s,implant_s1,aniso_haarhubs,2,-0.013061832612634064,-0.0006573787751589441,0.008514402533801532,-0.01240445383747512,-0.8582038048981693,1,0.18181818181818182,"[-0.006928027912093959, 0.00537134438765835, -0.003256949233005235, -0.005603102166638396, -0.0012108557218812876, -0.0006217208054818957, 0.00385045403978157, -0.01796740361263459, 0.011025006602875864, 0.008767466669830137]",72.49422407150269
i21k_s,implant_s1,aniso_haarhubs,3,-0.01212230743117848,-0.0033453599359243983,0.008369210609280356,-0.008776947495254083,-0.5697306219029711,1,0.18181818181818182,"[-0.00632772539227397, -0.0017524080299608502, -0.00046553079720509927, -0.0088126393516747, -0.006396121936574545, -0.0017341052845955551, 0.004009975019674761, -0.022467250163907285, 0.004380306770891629, 0.006111899806381632]",70.84163641929626
i21k_s,implant_s1,aniso_haarhubs,4,-0.013091747170666648,-0.0024175015841300706,0.009081540424532753,-0.010674245586536579,-0.6808638151629666,1,0.18181818181818182,"[-0.0048789191334893955, 0.00018957318317175398, -0.005432236569472837, -0.0076538817968331285, -0.0035093896683483783, -0.0014785650863789468, 0.010311208511215447, -0.02244850312530798, 0.003559649596514003, 0.007166048247628759]",71.84488892555237
