obj,n,d,delta_999,delta_sd,null_mean,null_sd,excess,r_above,p_left,excessB_real,excessB_star,depth,z_depth
ce,1000,768,0.04769289318456908,0.00014408806675763773,0.06295163705886866,0.0015268768546784798,-0.015258743874299582,200,0.004975124378109453,-0.030399449146396154,-9.493324451256557e-05,-0.03030451590188359,-2.3294532891109156
hier,1000,768,0.04818239162440287,0.0002092815204298093,0.06437688118906303,0.0022844033031125407,-0.01619448956466016,200,0.004975124378109453,-0.02947070278724484,2.6419624806414688e-05,-0.029497122412051255,-2.770808099503796
frozen,1000,768,0.05393620095877087,0.00019941582908156085,0.0701063339987667,0.0030291232126118503,-0.01617013303999583,200,0.004975124378109453,-0.033470938529142596,-7.948601012368327e-06,-0.03346298992813023,-3.6197812241629204
