model,xi_geo,frac_neg,null_mean,null_sd,excess,z,time_s
i21k_t,0.030810995027422905,0.244564944519757,0.035618427023291585,0.0017699776455432287,-0.00480743199586868,-2.664927054807648,18.4663143157959
i21k_s,0.0649089440703392,0.0752008032128514,0.05567004568874836,0.0014349854884050455,0.009238898381590845,6.248519342018864,25.695303201675415
i21k_b,0.0665079653263092,0.0666967780788919,0.0520704185590148,0.0013596664274901356,0.014437546767294404,10.511648655063844,43.54365587234497
i21k_l,0.07387500256299973,0.04297404488177117,0.06254312749952078,0.001425478810401898,0.01133187506347895,7.884686227126929,46.08083367347717
dinov1_b,0.0848919227719307,0.04837657449691374,0.08352505303919315,0.0013817863905841556,0.001366869732737544,0.9653618687871478,30.977657079696655
dinov2_s,0.09989984333515167,0.015610882441521935,0.09659843109548091,0.0013761155096209039,0.003301412239670759,2.298737216495197,15.672268152236938
dinov2_b,0.10767243057489395,0.00763627229339362,0.10307022631168365,0.0008464703343708902,0.004602204263210299,4.908268276877186,24.328221321105957
dinov2_l,0.10762482136487961,0.00572289156626506,0.10362002067267895,0.0010237961086068455,0.004004800692200661,3.889541671585975,28.49660634994507
dinov2_g,0.09373071044683456,0.0052206214547462475,0.10515805855393409,0.000897058769072546,-0.011427348107099528,-12.494165386074608,35.447712659835815
clip_b,0.025173727422952652,0.28277351006677715,0.03806095700711012,0.0017261858002146253,-0.012887229584157466,-7.136284166895044,11.449233531951904
clip_l,0.03277142718434334,0.2505145840654651,0.044813414290547374,0.002429130267626186,-0.012041987106204036,-4.787513095750563,16.584333658218384
siglip_b,0.05080200359225273,0.1433520787306688,0.04827908743172884,0.0021256791298733587,0.002522916160523893,1.177124411855818,15.402767658233643
