model,transform,star,dec_seed,excessB_real,excessB_star,star_sd,depth,z,r_star,p_star,time_s
dinov1_b,l2norm,aniso,-1,0.010724811147012514,0.0018290124528074867,0.002547722955077934,0.008895798694205027,0.8236526194975882,10,1.0,428.7393910884857
dinov1_b,l2norm,aniso_haarhubs,-1,0.010724811147012514,-0.00043799552429406584,0.005289012795716586,0.01116280667130658,0.9497872305355235,10,1.0,454.90481662750244
dinov1_b,l2norm,aniso_decoupled,0,0.01928932805797176,-0.0010636880213536841,0.0027169568228468614,0.020353016079325444,2.607966766156438,10,1.0,499.20962929725647
dinov1_b,l2norm,aniso_decoupled,1,0.016831598985325824,0.0002865655873910425,0.0031182637076481406,0.016545033397934783,2.1825104155903836,10,1.0,459.1252284049988
dinov1_b,l2norm,aniso_decoupled,2,0.018813150299283682,0.0009893203309936233,0.0033263470826586775,0.01782382996829006,2.3939341961864486,10,1.0,539.2457902431488
dinov1_b,l2norm,aniso_decoupled,3,0.016027237981146705,-0.00014019759039951563,0.0030039812668503445,0.01616743557154622,1.7990631351200561,10,1.0,477.48633432388306
dinov1_b,l2norm,aniso_decoupled,4,0.017508608336037984,0.0016105740227598474,0.002597341244615078,0.015898034313278138,1.765314960085677,10,1.0,383.2516779899597
dinov1_b,l2norm,aniso_decoupled,5,0.013124731718644367,0.00080667252621483,0.0026217571931234774,0.012318059192429537,1.3874991624881983,10,1.0,351.38530468940735
dinov1_b,l2norm,aniso_decoupled,6,0.016409811756627923,0.0010772619599072413,0.0023459782154294628,0.015332549796720682,1.9957143862998867,10,1.0,337.8049330711365
dinov1_b,l2norm,aniso_decoupled,7,0.013138406580721032,0.0006080712601574945,0.0019976103016390453,0.012530335320563538,1.8781151256400779,10,1.0,315.94416332244873
dinov1_b,l2norm,aniso_decoupled,8,0.01728936034790793,0.0009934799652499202,0.0025435669891831114,0.016295880382658008,1.7571936686107292,10,1.0,316.9513349533081
dinov1_b,l2norm,aniso_decoupled,9,0.016076979528082708,-8.473884948521915e-05,0.002182125090950132,0.016161718377567927,2.1896702614781436,10,1.0,392.9171657562256
dinov1_b,deradial,aniso,-1,-0.013378061241418632,-4.098238717920449e-05,0.004181298196412413,-0.013337078854239428,-1.6149435982466513,0,0.09090909090909091,334.4714105129242
dinov1_b,deradial,aniso_haarhubs,-1,-0.013378061241418632,0.0017126343662568987,0.0035933063524684686,-0.015090695607675531,-1.8917821098536995,0,0.09090909090909091,313.9438600540161
dinov1_b,deradial,aniso_decoupled,0,0.014191457731599688,0.0009125356493461065,0.002459502237169934,0.013278922082253581,1.990193222093249,10,1.0,374.59679079055786
dinov1_b,deradial,aniso_decoupled,1,0.01689017401151177,0.0010498756414274932,0.003336394858962259,0.01584029837008428,2.218420192791047,10,1.0,399.8960008621216
dinov1_b,deradial,aniso_decoupled,2,0.01635989614285477,0.0002910833053530154,0.0037658342015289025,0.016068812837501754,2.0499660453035027,10,1.0,383.69911217689514
dinov1_b,deradial,aniso_decoupled,3,0.01511358303374613,0.00010430896174672133,0.0033742747727603314,0.01500927407199941,1.9945082177302247,10,1.0,379.51827025413513
dinov1_b,deradial,aniso_decoupled,4,0.017245054564110046,0.0024593822353389068,0.0043082490150665054,0.014785672328771138,1.6119354217107331,10,1.0,373.1403796672821
