model,C,mode,seed,delta_999,delta_sd,null_mean,null_sd,excess,r_above,p_left,time_s
dinov2_l,10,random,0,0.022621405864374673,0.0,0.16347027228600333,0.02533431020054547,-0.14084886642162867,200,0.004975124378109453,95.20677018165588
dinov2_l,10,random,1,0.0331642352775952,0.0,0.159775645471515,0.027115550483716798,-0.1266114101939198,200,0.004975124378109453,102.04694700241089
dinov2_l,10,random,2,0.020518678091256872,0.0,0.1616779527166282,0.03050640818897887,-0.1411592746253713,200,0.004975124378109453,105.15278577804565
dinov2_l,10,random,3,0.04428027736345095,6.938893903907228e-18,0.16903613291215933,0.022534713094666915,-0.12475585554870838,200,0.004975124378109453,108.36249017715454
dinov2_l,10,random,4,0.031809257142534346,0.0,0.16947869378026753,0.02284295220091691,-0.13766943663773318,200,0.004975124378109453,110.75480103492737
dinov2_l,20,random,0,0.036381525934831606,0.001368687253210199,0.11952410893600479,0.009665675879661516,-0.08314258300117319,200,0.004975124378109453,128.6278476715088
dinov2_l,20,random,1,0.03311323566409423,0.00014901215779182105,0.1278582649074335,0.00834653701324417,-0.09474502924333926,200,0.004975124378109453,110.69854545593262
dinov2_l,20,random,2,0.029786260601805337,9.86017858118226e-06,0.12239619030512727,0.00914211962664905,-0.09260992970332194,200,0.004975124378109453,117.57748579978943
dinov2_l,20,random,3,0.0368299797378578,0.0006925197925920557,0.12525043991835338,0.008717850898942305,-0.08842046018049558,200,0.004975124378109453,117.96401762962341
dinov2_l,20,random,4,0.03601278078864634,0.0001804769879543214,0.13020391716681703,0.008590661625178152,-0.0941911363781707,200,0.004975124378109453,116.77848935127258
dinov2_l,50,random,0,0.03143062188618236,0.0001231286494405144,0.07853342987155347,0.0020243599168250086,-0.04710280798537111,200,0.004975124378109453,124.62278842926025
dinov2_l,50,random,1,0.031846111328265016,0.0001794630946570706,0.07870756811328401,0.0020536200735736636,-0.046861456785019,200,0.004975124378109453,118.97669625282288
dinov2_l,50,random,2,0.03188318428654068,9.145395665886483e-05,0.07248285796332654,0.002022378825784467,-0.04059967367678586,200,0.004975124378109453,130.83530640602112
dinov2_l,50,random,3,0.03341952647784843,0.0001950362149558706,0.08063438848759259,0.0020014045646437116,-0.04721486200974416,200,0.004975124378109453,128.25042819976807
dinov2_l,50,random,4,0.0326438039805612,0.00022150232328779676,0.08199211603626566,0.002092723153100347,-0.04934831205570446,200,0.004975124378109453,127.36235094070435
dinov2_l,100,random,0,0.03101281476997787,0.00016566537714256743,0.06252732904530962,0.0009165733934631532,-0.03151451427533175,200,0.004975124378109453,120.485271692276
dinov2_l,100,random,1,0.03126543370962161,0.00010914622497560438,0.06532721305035454,0.0009860667678105895,-0.03406177934073293,200,0.004975124378109453,117.69235467910767
dinov2_l,100,random,2,0.030214110479169647,9.11202756435557e-05,0.062213301578639406,0.0009955573734595263,-0.03199919109946976,200,0.004975124378109453,119.75015163421631
dinov2_l,100,random,3,0.031932856745992194,9.321270353469335e-05,0.0617585831716454,0.0008941500068457421,-0.029825726425653204,200,0.004975124378109453,121.78509449958801
dinov2_l,100,random,4,0.031236747963791604,0.00013275098953696276,0.06457546381824542,0.000993787921081688,-0.03333871585445381,200,0.004975124378109453,117.24655294418335
dinov2_l,200,random,0,0.03054833978949844,0.0001140790133023502,0.053618489886029186,0.0005346411257633657,-0.023070150096530746,200,0.004975124378109453,138.54854536056519
dinov2_l,200,random,1,0.030569994424141815,0.00013682807759103115,0.05387874348053184,0.0005576136842341056,-0.023308749056390028,200,0.004975124378109453,140.13109636306763
dinov2_l,200,random,2,0.030400869267195308,9.705595779325684e-05,0.05214064202880227,0.0005629673948766566,-0.02173977276160696,200,0.004975124378109453,137.3775553703308
dinov2_l,200,random,3,0.030743946019254908,0.00014706835952644855,0.05339034256522747,0.0005634263662419826,-0.02264639654597256,200,0.004975124378109453,136.78266763687134
dinov2_l,200,random,4,0.030587492535187093,8.051088958556138e-05,0.05178889667539766,0.0005165599463769403,-0.02120140414021057,200,0.004975124378109453,136.00953578948975
dinov2_l,500,random,0,0.029894728477344052,9.194602018770888e-05,0.046424449096193546,0.00045288857985825026,-0.016529720618849494,200,0.004975124378109453,266.50368666648865
dinov2_l,500,random,1,0.030530701815624513,0.00011515048857732372,0.0453901865928114,0.0004356548982237045,-0.01485948477718689,200,0.004975124378109453,209.3651521205902
dinov2_l,1000,random,0,0.02972310422945637,0.00011737536245415697,0.04325991523214073,0.00040368130181218297,-0.013536811002684362,200,0.004975124378109453,365.46348547935486
