model,d,erank,delta,delta_sd,null_spec,null_spec_sd,exc_spec,z_spec,null_pcperm,null_pcperm_sd,exc_pcperm,z_pcperm,time_s
gpt2,768,1.2583774328231812,0.1307896645749767,0.007016646425922743,0.08310754111024683,0.0020282081619751,0.04768212346472987,6.528309995104088,0.14196333877837589,0.003914263034604779,-0.011173674203399181,-1.3906946830773548,57.880454778671265
gpt2_m,1024,1.5062421560287476,0.09051378032495502,0.0041786985325349595,0.10311762922348529,0.0022210310528664465,-0.012603848898530265,-2.6633761060687355,0.10641242308078515,0.0007343688890545422,-0.015898642755830125,-3.7472607760827805,124.47119426727295
gpt2_l,1280,41.297359466552734,0.09493967538612438,0.003698498804153386,0.12884154091810096,0.005726408631242798,-0.03390186553197658,-4.973180556769174,0.1376935449309292,0.004071025667977235,-0.04275386954480481,-7.773155443899634,258.9558207988739
gpt2_xl,1600,56.013458251953125,0.08299851404174645,0.005322955310722666,0.13071917530166413,0.007132714178271236,-0.04772066125991768,-5.361890166486046,0.125627457818069,0.003973749914736671,-0.04262894377632255,-6.417479185678014,517.092127084732
olmo_1b,2048,1.504852533340454,0.10008096393189284,0.004966519780434184,0.10093453573093535,0.002003488150993308,-0.0008535717990425101,-0.15938532712307357,0.0996585963374984,0.0019974566393840525,0.0004223675943944294,0.07890084527936181,393.4835593700409
gte_base,768,97.8427963256836,0.12421470801251475,0.010928127873400407,0.11337354421880197,0.0034594499002862243,0.010841163793712777,0.9457836901636034,0.11719749751999668,0.002102323181041887,0.007017210492518064,0.6305615308021845,3.619504928588867
