epoch,step,gstep,img_per_s,acc_leaf,loss_leaf,loss_k30,loss_k6,loss_k2,lr_enc,t
0,2650,2651,79.2,0.88671875,1.0307,0.0487,0.0065,0.0045,1e-05,1790068654.6422548
0,2700,2701,79.1,0.94140625,0.2165,0.0759,0.0747,0.0245,1e-05,1790068826.5511315
0,2750,2751,79.0,0.88671875,0.5207,0.0842,0.019,0.0142,1e-05,1790068997.0446303
0,2800,2801,78.9,0.890625,0.4389,0.0588,0.0014,0.0006,1e-05,1790069169.6971996
0,2850,2851,78.9,0.93359375,0.4734,0.3179,0.1068,0.0083,1e-05,1790069338.6838958
0,2900,2901,78.8,0.85546875,0.8698,0.1476,0.1033,0.0256,1e-05,1790069507.9537947
0,2950,2951,78.8,0.9296875,0.3628,0.1076,0.0744,0.0365,1e-05,1790069677.628268
0,3000,3001,78.7,0.90625,0.9312,0.0655,0.0829,0.034,1e-05,1790069845.9579804
0,3050,3051,78.6,0.8828125,0.761,0.101,0.0314,0.0208,1e-05,1790070017.8572328
0,3100,3101,78.6,0.9453125,0.1696,0.0109,0.0051,0.0006,1e-05,1790070187.9713674
0,3150,3151,78.6,0.91015625,0.2943,0.0059,0.002,0.0006,1e-05,1790070354.9548128
0,3200,3201,78.5,0.93359375,0.5711,0.2271,0.0613,0.0659,1e-05,1790070521.7392015
0,3250,3251,78.5,0.875,0.8462,0.103,0.0031,0.0037,1e-05,1790070690.4481583
0,3300,3301,78.5,0.94140625,0.4241,0.051,0.0008,0.0009,1e-05,1790070857.1651227
0,3350,3351,78.4,0.91796875,0.4629,0.0382,0.0026,0.0021,1e-05,1790071024.660793
0,3400,3401,78.4,0.9296875,0.5371,0.2357,0.0993,0.1033,1e-05,1790071195.38823
0,3450,3451,78.3,0.93359375,0.4304,0.0307,0.0073,0.0086,1e-05,1790071367.1662679
0,3500,3501,78.3,0.9296875,0.3691,0.0202,0.0011,0.0003,1e-05,1790071536.0603857
0,3550,3551,78.2,0.8828125,0.5213,0.1277,0.0016,0.001,1e-05,1790071704.9798222
0,3600,3601,78.2,0.83984375,1.8658,0.126,0.0141,0.002,1e-05,1790071871.375104
0,3650,3651,78.2,0.875,0.8466,0.3291,0.001,0.0002,1e-05,1790072036.175033
0,3700,3701,78.2,0.890625,0.4848,0.1074,0.0064,0.0003,1e-05,1790072195.7293046
0,3750,3751,78.2,0.90625,0.4734,0.0228,0.0078,0.0025,1e-05,1790072361.3176084
0,3800,3801,78.2,0.8671875,0.661,0.1962,0.0389,0.0101,1e-05,1790072533.3534927
0,3850,3851,78.1,0.921875,0.4643,0.0562,0.0032,0.0027,1e-05,1790072705.3982837
