model,n,delta,excess,null_sd,r_above,p_left,depth_wn30,z_wn30,zdec_mean_wn30,zdec_sd_wn30,dec_frac_cert_wn30,depth_wn30bal,z_wn30bal,zdec_mean_wn30bal,zdec_sd_wn30bal,dec_frac_cert_wn30bal,time_s
frozen,1000,0.05393620095877087,-0.016164503722374754,0.003030260008889948,200,0.0049751243781094535,-0.03346298992813023,-3.61978122416292,-1.4036106835977291,0.25454163149061976,0.0,-0.029966339288128113,-2.824889154989554,-2.0979177263971867,0.2689806669104391,0.7,2361.936797618866
ce_seed0,1000,0.038433758698418065,-0.02434974400249848,0.0010019178407428794,200,0.0049751243781094535,-0.02672519096984281,-2.4466605392959058,-0.7231732107453149,0.1941741410131943,0.0,-0.02097873630521885,-2.0942260026584143,-1.3777075702428356,0.15150182768013476,0.0,2269.4936146736145
hier_seed0,1000,0.037852483647947265,-0.029301488811416018,0.002997212535964791,200,0.0049751243781094535,-0.03252752723542683,-2.9660880869750303,-2.3796805954843188,0.14920899091657072,1.0,-0.031753541767489214,-3.565812707509637,-3.5087326201035283,0.35320462854818035,1.0,2260.880264759064
ce_seed1,1000,0.03758519175139065,-0.024225536115593048,0.0009740179033762957,200,0.0049751243781094535,-0.0306393772872768,-3.182143845250939,-2.0151253285551207,0.20467982587751915,0.6,-0.03811885465869192,-2.9409942597971623,-3.024819484019827,0.10902764707744432,1.0,1376.590211391449
hier_seed1,1000,0.03618495430153178,-0.029492432840605924,0.002836157372940759,200,0.0049751243781094535,-0.039756454480174425,-4.217886056746199,-2.6329731670105643,0.31129395433037643,1.0,-0.04373497356671557,-5.8198715248715684,-3.441710305555868,0.11528749093461962,1.0,1376.269253730774
