dataset,theirs,ours_raw_mean,ours_raw_sd,excess_mean,excess_sd,r_above_mean,p_left_max,n,within_range
cifar10,0.26,0.2751574871868441,0.016724961119810564,-0.003719325629923101,0.0016813265016276254,172.8,0.3333333333333333,1500,True
cifar100,0.25,0.2607644118257678,0.012612947663373186,-0.008711134817698514,0.002532317712830537,197.9,0.029850746268656716,1500,True
cub,0.25,0.26963240309337466,0.01240061680152567,-0.004332834719065233,0.0020334841277204526,176.6,0.24875621890547264,1500,True
miniimagenet,0.21,0.20290823764729468,0.013158320766679719,-0.023369242355228585,0.001785668819499557,200.0,0.004975124378109453,1500,True
