model,kind,d,delta,delta_sd,null_mean,null_sd,excess,z,frac_null_above,r_above,p_left,time_s
gpt2,causal,768,0.1280005705780341,0.004133590203051537,0.1412124060830961,0.009885038888578732,-0.013211835505061997,-1.2330797087127856,0.915,183,0.08955223880597014,397.25158858299255
gpt2_m,causal,1024,0.08160560355642223,0.004483021838750108,0.09064854966052845,0.008140604190246986,-0.00904294610410622,-0.9730523881927081,0.865,173,0.13930348258706468,558.6414420604706
gpt2_l,causal,1280,0.0823318127142184,0.0047688554345704706,0.12128163238325343,0.006440300661270721,-0.03894981966903503,-4.860401478548746,1.0,200,0.004975124378109453,740.8248357772827
gpt2_xl,causal,1600,0.07213911640415527,0.002745502873080389,0.11934160925629098,0.006165007960551005,-0.04720249285213571,-6.994296863346884,1.0,200,0.004975124378109453,916.5770950317383
pythia_410m,causal,1024,0.09838986334657651,0.005186942530350306,0.1336177538145876,0.007596316024200748,-0.035227890468011086,-3.8298337496607333,1.0,200,0.004975124378109453,463.56122064590454
pythia_1b,causal,2048,0.09626459289721648,0.0038772241486359532,0.12721755451583028,0.007003927755162308,-0.0309529616186138,-3.8664668105537414,1.0,200,0.004975124378109453,597.5245223045349
pythia_2b8,causal,2560,0.09806037870291144,0.004328969918453902,0.13261586228407207,0.007595057487528968,-0.03455548358116063,-3.952752260419283,1.0,200,0.004975124378109453,591.886881351471
olmo_1b,causal,2048,0.08170641937224665,0.003658782087135512,0.11975952587750217,0.006267088015138385,-0.03805310650525552,-5.243689832661657,1.0,200,0.004975124378109453,523.1348540782928
