model,n,d,delta_999,delta_sd,null_mean,null_sd,excess,r_above,p_left,excess_haar_sup,r_haar_sup,p_haar_sup,excess_gauss_p999,r_gauss_p999,p_gauss_p999,time_s,p_bh,genuine_bh
bge_base,219,768,0.08190987757274723,0.00025727281094964756,0.10334775499187746,0.004454832083057575,-0.021437877419130225,200,0.004975124378109453,-0.03150085386852261,200,0.004975124378109453,-0.02631133966562156,200,0.004975124378109453,434.7131848335266,0.004975124378109453,True
e5_base,219,768,0.08575417530257563,0.00028744505665139126,0.1030739828878978,0.004557832729387029,-0.017319807585322172,200,0.004975124378109453,-0.02798389313801905,200,0.004975124378109453,-0.02208906953246527,200,0.004975124378109453,421.7132477760315,0.004975124378109453,True
gte_base,219,768,0.08792075721227002,0.00023672796401033984,0.10459441248859276,0.004546653072220434,-0.016673655276322738,200,0.004975124378109453,-0.024197057816472134,200,0.004975124378109453,-0.02115965356176515,200,0.004975124378109453,444.9395091533661,0.004975124378109453,True
