model,dataset,n,d,delta_999,delta_sd,null_mean,null_sd,excess,z,r_above,p_left,delta_sup,delta_sup_sd,time_s
clip_b,cifar100,1000,512,0.08045117055841469,0.000310367725864297,0.0864728561331726,0.0035357720641820065,-0.006021685574757907,-1.6965515579119985,184,0.0845771144278607,0.11735442153272704,0.005705557450260725,504.68071269989014
clip_b,dtd,1034,512,0.08874875254377008,0.00037324878687053733,0.08665652450976533,0.0036501482091762564,0.002092228034004759,0.5702164759329793,71,0.6467661691542289,0.12499193911077582,0.005829024413858487,505.1042115688324
clip_l,cifar100,1000,768,0.08438517065519814,0.0004113178444914304,0.08071883326108946,0.003902134467467928,0.003666337394108682,0.9343956187953469,35,0.8258706467661692,0.13193227765320786,0.0055308212264464284,654.9755027294159
clip_l,dtd,1034,768,0.08236400690080958,0.00030515924307342293,0.08318200068914909,0.0028797419838891606,-0.0008179937883395078,-0.2824695532381096,124,0.38308457711442784,0.1203484801454034,0.005205839571148525,720.1943893432617
siglip_b,cifar100,1000,768,0.07811693666912736,0.00022877470255022161,0.08547841364421947,0.0026195867867912868,-0.00736147697509211,-2.7995116646225897,199,0.009950248756218905,0.11335280723936336,0.005138527879534489,631.9313476085663
siglip_b,dtd,1034,768,0.07853773621654582,0.0001767508701306341,0.08293390388050832,0.0030094771973880672,-0.0043961676639625025,-1.4582616544526943,184,0.0845771144278607,0.11418326868151434,0.0073273795922428695,357.17147755622864
