model,C,mode,seed,delta,delta_sd,null_mean,excess,nc_R,nc_H,nc_adv_pp,n_test,time_s
i21k_l,200,random,1,0.09169651097229126,0.005046664263178453,0.13613572237507354,-0.044439211402782286,0.9373,0.9379,0.05999999999999339,10000,3.7526938915252686
i21k_l,200,random,2,0.08158359836423032,0.00099826981046699,0.132629984085236,-0.05104638572100567,0.9443,0.9454,0.10999999999999899,10000,3.8651719093322754
i21k_l,200,random,3,0.08611859904708644,0.006666572102363037,0.13411005482787913,-0.0479914557807927,0.9422,0.9431,0.09000000000000119,10000,3.3288323879241943
i21k_l,200,random,4,0.08810691597796368,0.004763269165698347,0.13466569438338927,-0.04655877840542559,0.9498,0.9512,0.14000000000000679,10000,3.9920032024383545
i21k_l,200,coherent,0,0.0890623622318404,0.002873635181202802,0.1352205762075424,-0.04615821397570201,0.8806,0.8829,0.22999999999999687,10000,3.773106813430786
i21k_l,200,coherent,1,0.09662614533094602,0.004841336565751304,0.13669720586839348,-0.04007106053744747,0.9012,0.9009,-0.029999999999996696,10000,3.352546453475952
i21k_l,200,coherent,2,0.10426227652427893,0.007158888825047147,0.13736926214622672,-0.03310698562194779,0.8658,0.8642,-0.16000000000000458,10000,3.638859510421753
i21k_l,200,coherent,3,0.08727756273852287,0.004021446783344257,0.13282236870516256,-0.04554480596663969,0.879,0.8807,0.17000000000000348,10000,3.614051580429077
i21k_l,200,coherent,4,0.10229660623305088,0.0035961800145564433,0.1327929020460034,-0.03049629581295253,0.8667,0.865,-0.17000000000000348,10000,4.487281799316406
i21k_l,500,random,0,0.08130975680447436,0.002148731277221613,0.11861224019610508,-0.037302483391630725,0.8954,0.8958,0.0400000000000067,25000,9.283114671707153
i21k_l,500,random,1,0.08100729042315283,0.0025318224143887533,0.11745248565027859,-0.03644519522712576,0.90408,0.90476,0.06800000000000139,25000,9.54184865951538
i21k_l,500,coherent,0,0.10333943383538853,0.01182608644762595,0.11830984808495704,-0.014970414249568506,0.85292,0.85396,0.10400000000000409,25000,9.071919441223145
i21k_l,500,coherent,1,0.08503587813599714,0.005590242048475054,0.12299100468580709,-0.03795512654980995,0.88804,0.88704,-0.10000000000000009,25000,8.830832958221436
