dataset,n_trials,delta_rel_sup_mean,null_mean,excess_sup_mean,excess_sup_sd,r_above_mean,r_above_median,p_left_median,p_left_max,p_left_min
cifar10,10,0.2751574590501994,0.2956564453789869,-0.02049898632878745,0.016469712746261397,156.0,167.0,0.16915422885572137,0.7014925373134329,0.0049751243781094535
cifar100,10,0.26076440363125925,0.29610082502192836,-0.03533642139066913,0.012536097875119724,187.0,196.0,0.02487562189054726,0.29850746268656714,0.0049751243781094535
cub,10,0.2696324004798571,0.29148065413369706,-0.02184825365383993,0.012722793161250101,162.8,174.5,0.13184079601990048,0.4875621890547264,0.0049751243781094535
miniimagenet,10,0.20290824200149848,0.2728615038344455,-0.06995326183294699,0.013272582138359574,200.0,200.0,0.0049751243781094535,0.0049751243781094535,0.0049751243781094535
