model,family,size,dataset,modality,K,n,d,curv,delta_999,delta_sd,null_mean,null_sd,excess,z,r_above,p_left,delta_999_native,delta_999_native_sd,excessB_real,excessB_star,depth,z_depth,depth_regime,time_s
clip_l,clip,l,cifar100,image,20,100,512,0.0,0.11229421882495416,0.0002731202897219406,0.1286542331877394,0.005912884749927149,-0.016360014362785225,-2.763894482211575,199,0.009950248756218905,0.1232721391317045,0.00025820585651356966,-0.021243842218259396,-0.0018017165672001233,-0.019442125651059274,-1.682476231491697,unvalidated,176.15205311775208
clip_l,clip,l,cifar100,text,20,100,512,0.0,0.09201059402356512,0.0005027860200439127,0.10400683325577706,0.0033245779279608917,-0.011996239232211936,-3.567780078210045,200,0.004975124378109453,0.09808187804396362,0.00044965588444901314,0.003606417240706844,-0.001917029412483759,0.005523446653190603,0.484738988465204,unvalidated,167.43464469909668
clip_l,clip,l,imagenet,image,30,1000,512,0.0,0.08406910472394867,0.0001726778753030312,0.09403545626627537,0.004648180648181762,-0.009966351542326696,-2.14266229639739,197,0.01990049751243781,0.10388022409564637,0.00021782187887243356,-0.013036298856796164,0.00014809489234201,-0.013184393749138174,-1.2064515360110373,validated,587.4447450637817
clip_l,clip,l,imagenet,text,30,1000,512,0.0,0.09215643290131093,0.0003163821628067889,0.08590438517377269,0.0036571504681795213,0.006252047727538235,1.703179259498815,5,0.9751243781094527,0.10117525810076948,0.0002843830793008161,0.003765226323631521,6.596000134866109e-05,0.00369926632228286,0.3949537856845502,validated,572.0500476360321
