model,C,mode,seed,delta_999,delta_sd,null_mean,null_sd,excess,r_above,p_left,time_s
dinov2_g,10,coherent,0,0.04151686737657799,0.0,0.16327337140471393,0.020044832534551145,-0.12175650402813594,200,0.004975124378109453,91.71099209785461
dinov2_g,10,coherent,1,0.03599458762143613,0.0,0.17491506377132265,0.021471154908021334,-0.1389204761498865,200,0.004975124378109453,96.20067167282104
dinov2_g,10,coherent,2,0.11760853356210572,0.0,0.15417714429810417,0.019779664538285266,-0.036568610735998444,195,0.029850746268656716,100.16954684257507
dinov2_g,10,coherent,3,0.03371434739716794,0.0,0.16202854251313556,0.027644086158964784,-0.12831419511596762,200,0.004975124378109453,101.51325511932373
dinov2_g,10,coherent,4,0.13072534613402426,2.7755575615628914e-17,0.18107900906204313,0.019947805574805688,-0.05035366292801888,199,0.009950248756218905,105.04069828987122
dinov2_g,20,coherent,0,0.04248088449088957,0.000249320808064904,0.12477406899554086,0.009869615519692464,-0.08229318450465128,200,0.004975124378109453,129.11277437210083
dinov2_g,20,coherent,1,0.03279891159334339,0.00012904639977297933,0.13923695834774852,0.009196590468772673,-0.10643804675440513,200,0.004975124378109453,118.47488927841187
dinov2_g,20,coherent,2,0.11116750324679733,0.002141885243931191,0.15658957198453646,0.011830654179734877,-0.04542206873773913,200,0.004975124378109453,116.7799460887909
dinov2_g,20,coherent,3,0.034773605544704315,0.0002064684925848952,0.12313963328548319,0.009060315403673927,-0.08836602774077887,200,0.004975124378109453,122.32722973823547
dinov2_g,20,coherent,4,0.12966904142660693,0.00014278071893825036,0.14422465236085177,0.008743352503119153,-0.014555610934244845,193,0.03980099502487562,118.81604266166687
dinov2_g,50,coherent,0,0.0407219837465467,0.00030122700298508944,0.08717560994281989,0.002839455830520587,-0.04645362619627319,200,0.004975124378109453,126.82556128501892
dinov2_g,50,coherent,1,0.030949647458913356,0.00026269148114892296,0.07665918784353128,0.002180143661853514,-0.04570954038461792,200,0.004975124378109453,119.11831068992615
dinov2_g,50,coherent,2,0.09574043796170507,0.00028966487565392776,0.12101937723703894,0.004948430604545076,-0.025278939275333867,200,0.004975124378109453,130.72658157348633
dinov2_g,50,coherent,3,0.04066465510134764,0.0001587062672196217,0.09313355406279734,0.0023605361129348285,-0.052468898961449704,200,0.004975124378109453,132.08001923561096
dinov2_g,50,coherent,4,0.055384078649775695,0.0011012722717221536,0.09413603068155947,0.002487308103383825,-0.038751952031783776,200,0.004975124378109453,128.0558319091797
dinov2_g,100,coherent,0,0.04719469845538986,0.0011653080050881327,0.06782315228734417,0.0012258039109435844,-0.020628453831954316,200,0.004975124378109453,123.9797112941742
dinov2_g,100,coherent,1,0.03067438131299812,0.00017189147950682785,0.06084514426366931,0.0008881753396709534,-0.03017076295067119,200,0.004975124378109453,116.85079884529114
dinov2_g,100,coherent,2,0.07951821688368202,0.0006921283164240352,0.1037076571528862,0.0027875745702672025,-0.02418944026920418,200,0.004975124378109453,120.09255003929138
dinov2_g,100,coherent,3,0.03726231014445021,0.00027182049298815126,0.07424592832731648,0.0012660631601157217,-0.036983618182866274,200,0.004975124378109453,125.33837556838989
dinov2_g,100,coherent,4,0.04904106730913015,0.00019809763531558058,0.0767316190088856,0.0014260350472466619,-0.02769055169975545,200,0.004975124378109453,124.70760202407837
dinov2_g,200,coherent,0,0.03192857082532029,0.0003061318510977414,0.0580921121639709,0.0007225249668294017,-0.026163541338650613,200,0.004975124378109453,142.61009860038757
dinov2_g,200,coherent,1,0.04843123300559843,0.0004806020298867323,0.06108984446424225,0.0010014649827406613,-0.012658611458643824,200,0.004975124378109453,123.19491982460022
dinov2_g,200,coherent,2,0.05574998975980612,0.0003156679680408823,0.07345718093753302,0.0014802606322096795,-0.0177071911777269,200,0.004975124378109453,111.66485166549683
dinov2_g,200,coherent,3,0.03298672421549304,0.00024105435395674042,0.056713404386036455,0.0006416210088029121,-0.023726680170543413,200,0.004975124378109453,108.13126587867737
dinov2_g,200,coherent,4,0.05440952117927006,0.0005173012974623506,0.07534069640110738,0.0015734569278925338,-0.020931175221837323,200,0.004975124378109453,109.46426796913147
dinov2_g,500,coherent,0,0.0295403826430753,0.00021190796375340833,0.04662042911686944,0.00042713355397814374,-0.017080046473794144,200,0.004975124378109453,212.0424680709839
dinov2_g,500,coherent,1,0.03881555106253527,0.0005331579739481368,0.048735285951814616,0.0006036271775820215,-0.009919734889279344,200,0.004975124378109453,234.11686944961548
