model,dataset,curv,n,d,radius_sqrtc_median,radius_sqrtc_p95,radius_sqrtc_max,lorentz_over_euclid_median,lorentz_over_euclid_p95,centroid_radius_sqrtc_median,centroid_lorentz_over_euclid_median
meru_s,cifar100,0.10000000149011612,50000,512,0.25845522300053075,0.2632303391391373,0.27145767675049826,0.9991310409361371,0.9994894181781273,0.24354344260102423,0.9996858417395653
meru_s,imagenet,0.10000000149011612,50000,512,0.25834240994580526,0.264637405291975,0.2715314995056467,0.9978179185201009,0.9984455526800975,0.225720553957523,0.9990712840452998
meru_b,cifar100,0.10000000149011612,50000,512,0.25969055659488904,0.26615293832834463,0.27730633285235917,0.9988882776705698,0.9993101517017531,0.24090666228169466,0.9996404115355764
meru_b,imagenet,0.10000000149011612,50000,512,0.2641092946561814,0.270990500334297,0.2829703447426677,0.9977663086564145,0.9983838363801657,0.23196977647794162,0.9990141762699827
meru_l,cifar100,0.10000000149011612,50000,512,0.27213676141153703,0.28219734335334085,0.29668121319933893,0.9981222379200352,0.9987411259597291,0.24077948635481738,0.999447468315646
meru_l,imagenet,0.10000000149011612,50000,512,0.2788551202848619,0.28713172804096937,0.29860563256256123,0.9971708128390981,0.9978622515532538,0.23702070402593023,0.9988304796284053
