model,dataset,null,stat,n,d,delta,delta_sd,null_mean,null_sd,excess,z,frac_null_above,r_above,p_left,time_s
dinov2_b,imagenet,haar,sup,1000,768,0.09264803677029444,0.010022778245263935,0.0744326239711191,0.0016755979202873576,0.018215412799175337,1.7925247100704491,0.0,0,1.0,543.321231842041
dinov2_l,imagenet,haar,sup,1000,1024,0.07059325784273303,0.007479214010511662,0.0643363338137135,0.0014618001956329882,0.006256924029019534,0.8210401504882487,0.0,0,1.0,737.1137065887451
dinov2_g,imagenet,haar,sup,1000,1536,0.08081277950780391,0.00775670136192715,0.06056340210340227,0.0013694378690751656,0.020249377404401643,2.570807532555434,0.0,0,1.0,1063.7259883880615
clip_b,imagenet,haar,sup,1000,512,0.11952016031417192,0.00527248911176936,0.14269042495570833,0.008522869900214274,-0.023170264641536403,-2.3119635735185735,0.995,199,0.009950248756218905,421.5923948287964
clip_l,imagenet,haar,sup,1000,768,0.11773132952248236,0.005182869614368171,0.13410457918960597,0.007524508849632182,-0.016373249667123613,-1.7920193685810495,0.99,198,0.014925373134328358,476.93023800849915
siglip_b,imagenet,haar,sup,1000,768,0.11368781032794306,0.009047941610363618,0.1284613083891485,0.0070769665910339966,-0.014773498061205426,-1.2861178796266644,0.97,194,0.03482587064676617,409.9574828147888
