t,n_cells,NC_adv_mean,FS_adv_mean,FS_adv_dinov2,FS_pos_frac
0.25,36,-0.2993971631205666,0.8763703703703706,1.466333333333335,0.9722222222222222
0.3536,36,-0.2546099290780133,0.8704814814814816,1.4124444444444448,1.0
0.4082,36,-0.23258865248227048,0.8667407407407384,1.3792222222222188,1.0
0.4472,36,-0.21482269503545992,0.8583703703703677,1.3471111111111072,1.0
0.5,36,-0.16856973995271765,0.8409259259259249,1.293777777777776,1.0
0.5774,36,-0.11779550827423042,0.820703703703701,1.203666666666663,1.0
0.7071,36,-0.014834515366428843,0.7639629629629623,0.9957777777777778,1.0
0.95,36,0.15390661938534358,0.5616296296296303,0.3997777777777785,1.0
