dataset,i21k_b,dinov1_b,clip_b
imagenet,-0.02710960758413139,-0.004410163917785592,-0.030123293845198476
cifar100,-0.019150862463765128,-0.07233373026678253,-0.05005673082324816
cifar10,-0.08079922360132662,-0.09021533785396696,-0.06916038336038136
dtd,-0.06421147882843056,-0.05324749807645349,-0.06481475815865495
fashionmnist,-0.07057220317658203,-0.03685206399514154,-0.0511201058579305
mnist,-0.044389886629948666,-0.06859484393804485,-0.036374997612716065
