model,n_quads,delta,delta_sd,excessA,zA,excessB,zB,time_s
dinov2_l,2000000,0.08093144487188608,0.013509114079265024,-0.005078692001642543,-0.37346264884772606,-0.030614911572218406,-2.047704810743496,30.75641393661499
i21k_l,2000000,0.10534716926919903,0.0024975205109720815,-0.03245303990208141,-5.021210572583742,-0.0390428250048455,-5.12795148902772,30.939903736114502
clip_b,2000000,0.12688086246996158,0.0036793121052672577,-0.029612824485651168,-6.420256177718799,-0.029203420548362613,-2.4091255294113028,26.367339611053467
