model,b,delta,delta_sd,null_mean,excess,n_rep,time_s
dinov2_b,-1,0.03356165236634483,0.00016182450755775234,0.05026655577890601,-0.01670490341256118,20,59.06991982460022
dinov2_b,0,0.03387624391944188,0.00018412054779072185,0.05011157201940136,-0.016235328099959485,20,56.55998492240906
dinov2_b,1,0.03368734957776416,0.00017764440855971438,0.050160455525279105,-0.016473105947514943,20,53.08903384208679
dinov2_b,2,0.033595707657416256,0.0001931898804640453,0.05016126495965979,-0.016565557302243537,20,54.00193381309509
dinov2_b,3,0.03340061701323846,0.00021107807179987587,0.05012798738669464,-0.01672737037345618,20,44.94274067878723
dinov2_b,4,0.033462591621529855,0.00015455525535546525,0.0501320169182203,-0.016669425296690445,20,49.80997943878174
dinov2_b,5,0.03365783580437779,0.00012234286787466105,0.05008145929537762,-0.01642362349099983,20,52.88628363609314
dinov2_b,6,0.033952791900199904,0.00017441091089892804,0.05014450397117519,-0.016191712070975285,20,53.960028648376465
dinov2_b,7,0.03400013673592367,0.0001656462814871495,0.0501230931481633,-0.016122956412239632,20,53.54002261161804
dinov2_b,8,0.03348529013126876,0.00022537068158589828,0.05008313220649254,-0.01659784207522378,20,56.32253432273865
dinov2_b,9,0.03391885024454828,0.0002281596245004817,0.050073303731957966,-0.016154453487409688,20,55.69333791732788
dinov2_b,10,0.03371750815121318,0.00019525471248073436,0.05009202709532244,-0.01637451894410926,20,52.0959370136261
dinov2_b,11,0.03357316652824755,0.0001787827245326861,0.050108770326330196,-0.016535603798082645,20,53.919833183288574
dinov2_b,12,0.03384655047900707,0.00021092103390196463,0.050132537685934744,-0.01628598720692767,20,57.68646049499512
dinov2_b,13,0.03334966346220888,0.00018699308979196793,0.05012843598708248,-0.0167787725248736,20,52.99855709075928
dinov2_b,14,0.03356783888691976,0.0001599898176143852,0.05011083052390068,-0.01654299163698092,20,53.15808176994324
dinov2_b,15,0.03366520437383774,0.0002515597936262973,0.05008382223426737,-0.016418617860429627,20,49.410300493240356
dinov2_b,16,0.0337088658348442,0.000204368091313149,0.05006914550562447,-0.01636027967078027,20,56.0169723033905
dinov2_b,17,0.03357288423627544,0.0001361630610910044,0.050096377171404374,-0.016523492935128933,20,58.65718054771423
dinov2_b,18,0.03395463436653905,0.00017841911385174108,0.050110730677075624,-0.016156096310536577,20,55.24258375167847
dinov2_b,19,0.03365099352959414,0.0001675890045749087,0.05012528480668578,-0.016474291277091636,20,55.05990695953369
dinov2_b,20,0.03374481697398983,0.00021567085215153347,0.05011686884815989,-0.01637205187417006,20,54.19680333137512
dinov2_b,21,0.03371242679924089,0.00015878227380908383,0.0501182761964411,-0.01640584939720021,20,53.527743339538574
dinov2_b,22,0.03365345300379274,0.0002163287045267578,0.050094649982588293,-0.016441196978795557,20,60.11451554298401
dinov2_b,23,0.0338756468987615,0.00022915539724419534,0.05015227913782566,-0.016276632239064164,20,57.1768593788147
dinov2_b,24,0.03368860333690495,0.00011964131856835617,0.05010432107442825,-0.016415717737523296,20,56.85239100456238
dinov2_b,25,0.03382789855448019,0.00021832241832702565,0.050071230694690806,-0.016243332140210613,20,55.147401094436646
dinov2_b,26,0.03332638471101448,0.00020828824848651234,0.05013476763107757,-0.016808382920063092,20,58.22947716712952
dinov2_b,27,0.03386896265701538,0.00018075702705813037,0.050125567151983574,-0.016256604494968192,20,55.58249092102051
dinov2_b,28,0.03351232760133536,0.0001528601476397362,0.050125835559260215,-0.016613507957924857,20,56.607213735580444
dinov2_b,29,0.03360490423013333,0.00015702727561926392,0.05016542737435847,-0.016560523144225146,20,60.51949119567871
dinov2_l,-1,0.02972310422945637,0.00011737536245415697,0.0432806957116269,-0.013557591482170527,20,92.83609127998352
