model,dataset,b,n,delta_999,delta_sd,null_mean,null_sd,excess,r_above,p_left,n_rep,time_s
i21k_b,imagenet,-1,1000,0.05393620095877087,0.00019941582908156085,0.07018126842644758,0.0027586625147194275,-0.016245067467676705,50,0.0196078431372549,50,296.61989641189575
i21k_b,imagenet,0,1000,0.05429984791028027,0.0002182070586776435,0.06962162077270748,0.002709844827956266,-0.015321772862427203,50,0.0196078431372549,50,301.1170873641968
i21k_b,imagenet,1,1000,0.05339072147402886,0.0002105876727687227,0.06959780447470053,0.0027129195749273963,-0.016207083000671668,50,0.0196078431372549,50,282.2443513870239
i21k_b,imagenet,2,1000,0.053863664291722714,0.00020140288768406218,0.06968108460343247,0.0027177985126164944,-0.01581742031170976,50,0.0196078431372549,50,275.7319576740265
i21k_b,imagenet,3,1000,0.05453911483457483,0.00023391267278353336,0.06981291341753683,0.002723277683920742,-0.015273798582961996,50,0.0196078431372549,50,273.16071701049805
i21k_b,imagenet,4,1000,0.054773308753762205,0.00021969114331409355,0.06984993031599832,0.0027295810824237,-0.01507662156223611,50,0.0196078431372549,50,285.2509047985077
i21k_b,imagenet,5,1000,0.05390801415426384,0.0001726628476759634,0.06972851963774414,0.0027167130376022012,-0.015820505483480296,50,0.0196078431372549,50,325.1422016620636
i21k_b,imagenet,6,1000,0.054232447164445786,0.00023452380871506165,0.0696583178073822,0.002715090052990693,-0.015425870642936414,50,0.0196078431372549,50,456.88534331321716
i21k_b,imagenet,7,1000,0.053230307140086044,0.00018818384331033516,0.06966996223065039,0.0027157948489711066,-0.016439655090564345,50,0.0196078431372549,50,395.13168001174927
i21k_b,imagenet,8,1000,0.054106067431479866,0.0001916812735419452,0.06979553518809106,0.0027271815130271403,-0.015689467756611196,50,0.0196078431372549,50,395.06365966796875
i21k_b,imagenet,9,1000,0.05406287064469417,0.00018916655017998387,0.06967099910093763,0.0027207199301849134,-0.015608128456243459,50,0.0196078431372549,50,458.3114855289459
i21k_b,imagenet,10,1000,0.053922077370548514,0.0001961603441577927,0.06976644458268194,0.0027220139683861414,-0.015844367212133427,50,0.0196078431372549,50,572.8393905162811
i21k_b,imagenet,11,1000,0.054403565285819654,0.00023315497563516574,0.06981259020596814,0.0027164310995294355,-0.015409024920148486,50,0.0196078431372549,50,542.5012369155884
i21k_b,imagenet,12,1000,0.05441081119221729,0.00019398177472352424,0.06973955205125715,0.002719455878110442,-0.01532874085903986,50,0.0196078431372549,50,386.91271352767944
i21k_b,imagenet,13,1000,0.053000488670784704,0.000171282877447132,0.06970353726535045,0.0027170252908829337,-0.016703048594565742,50,0.0196078431372549,50,769.920170545578
i21k_b,imagenet,14,1000,0.05467606370841208,0.0002463909416713997,0.0697016807337871,0.002725128612282862,-0.01502561702537502,50,0.0196078431372549,50,943.641312122345
